record_id,status,triage,title
3275,TODO,TODO-pool,Cancer incidence in the Middle Eastern population of Ca
3288,TODO,TODO-pool,Cancer incidence among Korean-American immigrants in th
3322,TODO,TODO-pool,Cancer incidence in the South Asian population of Calif
3999,TODO,TODO-pool,Cancer incidence patterns among Vietnamese in the Unite
4026,TODO,TODO-pool,Incidence of selected cancers in Non-Hispanic American 
4043,TODO,TODO-pool,Trends in Breast Cancer Incidence and Mortality in the 
4333,TODO,TODO-pool,Cancer among Hispanic women in South Florida: An 18-yea
134,TODO,TODO-trend,Breast cancer incidence among American Indian and Alask
144,TODO,TODO-trend,Rapidly rising breast cancer incidence rates among Asia
151,TODO,TODO-trend,Cancer incidence trends among asian american population
158,TODO,TODO-trend,Trends in breast cancer incidence rates by race/ethnici
207,TODO,TODO-trend,Cancer incidence trends among native hawaiians and othe
209,TODO,TODO-trend,Racial and regional disparities of triple negative brea
272,TODO,TODO-trend,Cancer rates among American Indians and Alaska Natives:
369,TODO,TODO-trend,Differences in breast cancer incidence among young wome
426,TODO,TODO-trend,Trends in Incidence of Invasive Lobular Carcinoma of th
438,TODO,TODO-trend,Changes in breast cancer incidence rates in the United 
587,TODO,TODO-trend,Breast cancer in the middle eastern population of Calif
2137,TODO,TODO-trend,Cancer disparities among non-Hispanic urban American In
2453,TODO,TODO-trend,Incidence and survival among young women with stage I-I
49,TODO,TODO-other,"Cancer incidence in the Hmong in California, 1988-2000"
86,TODO,TODO-other,Breast cancer racial differences before age 40--implica
165,TODO,TODO-other,Socioeconomic status and breast cancer incidence in Cal
205,TODO,TODO-other,Breast cancer incidence rates in U.S. women re no longe
238,TODO,TODO-other,Patterns in cancer incidence among American Indians/Ala
310,TODO,TODO-other,Recent breast cancer trends among Asian/Pacific Islande
402,TODO,TODO-other,"Disparities in Breast Cancer Incidence, Mortality, and "
419,TODO,TODO-other,Higher population-based incidence rates of triple-negat
461,TODO,TODO-other,"Trends and Patterns of Late and Unstaged Lung, Colorect"
475,TODO,TODO-other,The greater impact of menopause on ER- than ER+ breast 
541,TODO,TODO-other,Racial and socioeconomic disparities in breast cancer d
955,TODO,TODO-other,Cancer among Asian Indians/Pakistanis living in the Uni
1101,TODO,TODO-other,Cancer incidence in the Somali population of Olmsted Co
3212,TODO,TODO-other,Fifty years of cancer in an American Indian population
3267,TODO,TODO-other,Cambodian cancer incidence rates in California and Wash
3891,TODO,TODO-other,Changes in cancer incidence patterns among a northeaste
4027,TODO,TODO-other,Cancer incidence among Asian American populations in th
4058,TODO,TODO-other,"White-Black Differences in Cancer Incidence, Stage at D"
4147,TODO,TODO-other,AN EXCESS OF BREAST CANCER AMONG YOUNG CALIFORNIA-BORN 
