record_id,year,series,pop_focus,data_source,doi,pmid,title
54,2021,PRIMARY,subtype:TNBC;male-BC;grp:AANHPI;grp:Hispanic,SEER;state/regional:new jersey,10.1002/ijc.33331,33099777,"Breast cancer among Asian Indian and Pakistani Americans: A surveillance, epidemiology and end results-based study"
66,2021,PRIMARY,male-BC;grp:AANHPI;grp:Hispanic,SEER;state/regional:pacific island,10.1002/cncr.33846,34427920,Age distributions of breast cancer diagnosis and mortality by race and ethnicity in US women
76,2003,PRIMARY,male-BC;grp:Black-White,SEER,10.3322/canjclin.53.6.342,15224974,Trends in breast cancer by race and ethnicity
79,2007,PRIMARY,subtype:HR/HER2;male-BC;grp:Hispanic,state/regional:arizona,,18065856,Breast cancer among hispanic and non-hispanic white women in Arizona
80,2024,PRIMARY,male-BC;grp:AANHPI,MEC-cohort;state/regional:hawaii,10.1158/1055-9965.epi-24-0647,39132985,"Breast, Colorectal, and Prostate Cancer Incidence among Filipino Americans by Generational Status in the Multiethnic Cohort Study"
86,2002,PRIMARY,male-BC;grp:Black-White,SEER,,11918384,Breast cancer racial differences before age 40--implications for screening.
93,2019,PRIMARY,subtype:TNBC;male-BC;grp:Black-White,unspecified-US-registry,10.1007/s10552-019-01168-0,30972520,Disparities in breast cancer subtypes among women in the lower Mississippi Delta Region states
100,2012,PRIMARY,male-BC;grp:AANHPI;grp:Hispanic,unspecified-US-registry,10.1002/ijc.26004,21351091,Invasive breast cancer incidence trends by detailed race/ethnicity and age
101,2020,PRIMARY,male-BC;grp:AANHPI;grp:AIAN;grp:MiddleEastern/Arab,SEER;state/regional:guam;state/regional:pacific island,,32596677,Cumulative Incidence Rates of Breast Cancer by Age for Filipinos and Chamorros in Guam
103,2012,PRIMARY,subtype:TNBC;male-BC;grp:AANHPI;grp:Hispanic,unspecified-US-registry,10.1093/jnci/djs264,22773826,Age-specific incidence of breast cancer subtypes: Understanding the black-white crossover
107,2021,PRIMARY,male-BC;grp:AANHPI;grp:AIAN;grp:Hispanic,SEER;AK-Native;state/regional:new mexico,10.5888/pcd18.200468,33705303,Quantification of Potential Inequities in Breast Cancer Incidence in New Mexico Through Bayesian Disease Mapping
119,2014,PRIMARY,grp:AANHPI;grp:AIAN,state/regional:michigan,10.1002/cncr.28589,24676851,Disparities of cancer incidence in Michigan's American Indians: Spotlight on breast cancer
126,2020,PRIMARY,subtype:TNBC;male-BC;grp:AANHPI;grp:Hispanic,SEER;state/regional:pacific island,10.1001/jamanetworkopen.2020.13226,32804214,Incidence trends of breast cancer molecular subtypes by age and race/ethnicity in the US from 2010 to 2016
134,2008,PRIMARY,male-BC;grp:AANHPI;grp:AIAN;grp:Hispanic,SEER;AK-Native,10.1002/cncr.23725,18720389,"Breast cancer incidence among American Indian and Alaska Native women: US, 1999-2004"
136,2016,ACS-BreastStats,RECURRING-REPORT,multi-registry-aggregate,10.3322/caac.21320,26513636,"Breast cancer statistics, 2015: Convergence of incidence rates between black and white women"
141,2022,PRIMARY,subtype:HR/HER2;male-BC;grp:Hispanic,SEER,10.1093/jnci/djab186,34508608,Decreasing Incidence of Estrogen Receptor-Negative Breast Cancer in the United States: Trends by Race and Region
142,2021,PRIMARY,subtype:TNBC;male-BC;grp:Hispanic,SEER,10.1016/j.jnma.2020.07.016,32778443,Are There Regional Differences in Triple Negative Breast Cancer among Non-Hispanic Black Women?
144,2002,PRIMARY,male-BC;grp:AANHPI;grp:Hispanic,unspecified-US-registry,10.1002/ijc.10415,12115511,Rapidly rising breast cancer incidence rates among Asian-American women
145,2011,PRIMARY,male-BC;grp:Black-White,SEER;state/regional:wisconsin,,21473509,Persistence in breast cancer disparities between African Americans and whites in Wisconsin
146,2024,PRIMARY,subtype:HR/HER2;male-BC;grp:AANHPI;grp:AIAN;grp:Hispanic,SEER;AK-Native;state/regional:pacific island,10.1001/jamanetworkopen.2023.53331,38277147,"Breast Cancer Incidence Among US Women Aged 20 to 49 Years by Race, Stage, and Hormone Receptor Status"
148,2016,ACS-AABlack,RECURRING-REPORT,multi-registry-aggregate,10.3322/caac.21340,26910411,"Cancer statistics for African Americans, 2016: Progress and opportunities in reducing racial disparities"
151,2013,PRIMARY,male-BC;grp:AANHPI;grp:Hispanic,SEER,10.1093/jnci/djt157,23878350,"Cancer incidence trends among asian american populations in the united states, 1990-2008"
155,2023,PRIMARY,subtype:TNBC;male-BC;grp:AANHPI;grp:AIAN;grp:Hispanic,AK-Native;state/regional:pennsylvania;state/regional:pacific island,10.1001/jamaoncol.2022.7835,36862439,State Variation in Racial and Ethnic Disparities in Incidence of Triple-Negative Breast Cancer among US Women
156,2022,ARN,RECURRING-REPORT,multi-registry-aggregate,10.1002/cncr.34479,36301149,"Annual report to the nation on the status of cancer, part 1: National cancer statistics"
157,2005,PRIMARY,male-BC;grp:Black-White,SEER;state/regional:connecticut,10.1200/jco.2004.01.0421,16258086,Breast cancer trends among black and white women in the United States
158,2022,PRIMARY,male-BC;grp:Hispanic,unspecified-US-registry,10.1002/cncr.34008,34731501,"Trends in breast cancer incidence rates by race/ethnicity: Patterns by stage, socioeconomic position, and geography in the United States, 1999-2017"
161,2019,PRIMARY,subtype:TNBC;grp:AANHPI,SEER;state/regional:hawaii;state/regional:pacific island,10.1016/j.canep.2018.11.006,30503975,The high and heterogeneous burden of breast cancer in Hawaii: A unique multiethnic U.S. Population
165,2001,PRIMARY,grp:AANHPI;grp:Hispanic,unspecified-US-registry,10.1023/a:1011240019516,11562110,Socioeconomic status and breast cancer incidence in California for different race/ethnic groups
169,2022,PRIMARY,male-BC;grp:AANHPI;grp:Hispanic,state/regional:pacific island,10.15585/mmwr.mm7102a2,35025856,"Trends in Breast Cancer Incidence, by Race, Ethnicity, and Age Among Women Aged ≥20 Years - United States, 1999-2018"
178,2019,PRIMARY,male-BC;grp:AANHPI;grp:Hispanic,state/regional:pacific island,10.1007/s10549-018-5042-1,30426307,Trends in stage at diagnosis for young breast cancer patients in the United States
182,2012,PRIMARY,male-BC;grp:Black-White,unspecified-US-registry,,23151952,"Vital signs: Racial disparities in breast cancer severity - United States, 2005-2009"
188,2006,PRIMARY,male-BC;grp:Black-White,unspecified-US-registry,,16737949,Trends in breast cancer by race and ethnicity: Update 2006
190,2020,PRIMARY,grp:AANHPI;grp:Hispanic,state/regional:massachusetts,,34128917,"Cancer Incidence Rate Variations among the Chinese, South Asian, and Vietnamese  in Massachusetts, 2011-2015"
193,2026,PRIMARY,subtype:TNBC;male-BC;grp:AANHPI;grp:Hispanic,NCDB;state/regional:pacific island,10.1016/j.amjsurg.2025.116577,40885651,Breast cancer trends and outcomes among young Black Women: A national cancer database analysis
199,2008,PRIMARY,male-BC;grp:Black-White,SEER,10.1016/s0027-9684(15)31294-3,18507200,"Breast cancer epidemiology in blacks and whites: Disparities in incidence, mortality, survival rates and histology"
200,2012,PRIMARY,subtype:HR/HER2;male-BC;grp:Black-White,unspecified-US-registry,10.1371/journal.pone.0049359,23166647,Breast Cancer Incidence in Black and White Women Stratified by Estrogen and Progesterone Receptor Statuses
203,2008,PRIMARY,subtype:HR/HER2;male-BC;grp:Black-White,SEER,10.1093/jnci/djn344,19001605,Recent trends in breast cancer among younger women in the United States
205,2011,PRIMARY,subtype:HR/HER2;male-BC;grp:Hispanic,SEER,10.1158/1055-9965.epi-11-0061,21357727,Breast cancer incidence rates in U.S. women re no longer declining
207,2013,PRIMARY,male-BC;grp:AANHPI,SEER;state/regional:hawaii;state/regional:guam;state/regional:pacific island,10.1093/jnci/djt156,23878354,"Cancer incidence trends among native hawaiians and other pacific islanders in the united states, 1990-2008"
209,2022,PRIMARY,subtype:TNBC;male-BC;grp:AANHPI;grp:Hispanic,SEER;state/regional:pacific island,10.3389/fpubh.2022.1058722,36530732,Racial and regional disparities of triple negative breast cancer incidence rates in the United States: An analysis of 2011-2019 NPCR and SEER incidence data
210,2022,PRIMARY,male-BC;grp:AANHPI;grp:AIAN;grp:Hispanic,SEER,10.1016/j.canep.2021.102076,34861613,"Breast cancer incidence trends in Asian women aged 20 or older as compared to other ethnic women in the United States from 2000 to 2018 by time period, age and tumor stage"
226,2022,PRIMARY,subtype:TNBC;grp:Hispanic,CA-registry,10.1007/s10552-022-01557-y,35113296,"Home mortgage discrimination and incidence of triple-negative and Luminal A breast cancer among non-Hispanic Black and non-Hispanic White females in California, 2006–2015"
234,2026,PRIMARY,subtype:TNBC;grp:AANHPI,SEER;state/regional:hawaii;state/regional:guam;state/regional:pacific island,10.1001/jamanetworkopen.2026.21250,42377954,"Breast Cancer Incidence in Asian American, Native Hawaiian, and Pacific Islander Populations, 2000-2022"
235,2020,ARN,RECURRING-REPORT,multi-registry-aggregate,10.1002/cncr.32802,32162336,"Annual report to the nation on the status of cancer, part I: National cancer statistics"
236,2010,PRIMARY,male-BC;grp:AANHPI,CA-registry,,20147696,Hidden breast cancer disparities in Asian women: disaggregating incidence rates by ethnicity and migrant status.
238,2004,PRIMARY,male-BC;grp:AANHPI;grp:AIAN,SEER;AK-Native,10.1016/j.phr.2004.05.009,15219802,"Patterns in cancer incidence among American Indians/Alaska Natives, United States, 1992-1999"
246,2010,PRIMARY,male-BC;grp:AANHPI;grp:Hispanic,state/regional:pacific island,10.1007/s10552-010-9601-y,20567897,Does socioeconomic disparity in cancer incidence vary across racial/ethnic groups?
251,2021,PRIMARY,subtype:TNBC;grp:Hispanic,unspecified-US-registry,10.1007/s12282-020-01132-w,32671723,"Triple-negative breast cancer incidence in the United States: ecological correlations with area-level sociodemographics, healthcare, and health behaviors"
252,2020,PRIMARY,male-BC;grp:MiddleEastern/Arab,SEER,10.1002/cncr.32846,32212335,Forty-year trends in menopausal hormone therapy use and breast cancer incidence  among postmenopausal black and white women
253,2000,PRIMARY,male-BC;lifetime-risk;grp:Hispanic,SEER,,10761199,Breast cancer patterns and lifetime risk of developing breast cancer among Puerto Rican females.
259,2011,PRIMARY,subtype:IBC;male-BC;grp:Hispanic,SEER,10.1007/s10549-011-1719-4,21850396,What can we learn from the age- and race/ethnicity- specific rates of inflammatory breast carcinoma?
265,2008,PRIMARY,male-BC;grp:Black-White,SEER,10.1093/jnci/djn411,19066264,Age-related crossover in breast cancer incidence rates between black and white ethnic groups
272,2003,PRIMARY,male-BC;grp:AANHPI;grp:AIAN,SEER;AK-Native,10.1002/cncr.11633,12973851,Cancer rates among American Indians and Alaska Natives: is there a national  perspective
277,2018,PRIMARY,grp:overall/multi,SEER,10.1001/jamasurg.2018.0035,29516087,Race/Ethnicity and Age Distribution of Breast Cancer Diagnosis in the United  States
278,2013,PRIMARY,subtype:HR/HER2;male-BC;grp:Hispanic,SEER,10.1001/jama.2013.776,23443443,"Incidence of breast cancer with distant involvement among women in the United States, 1976 to 2009"
284,2026,PRIMARY,male-BC;grp:AANHPI,SEER;state/regional:hawaii,10.1158/1055-9965.epi-26-0101,42065927,"Trends in Female Breast Cancer Incidence among Japanese, Korean, and US Populations: An Age-Period-Cohort Analysis"
286,2020,PRIMARY,subtype:TNBC;subtype:lobular;male-BC;grp:AANHPI;grp:AIAN;grp:Hispanic,SEER;state/regional:pacific island,10.1001/jamanetworkopen.2020.20303,33074325,Variation in breast cancer subtype incidence and distribution by race/ethnicity in the United States from 2010 to 2015
310,2007,PRIMARY,subtype:HR/HER2;subtype:lobular;male-BC;grp:AANHPI;grp:Hispanic,SEER;state/regional:pacific island,10.1186/bcr1839,18162138,"Recent breast cancer trends among Asian/Pacific Islander, Hispanic, and African-American women in the US: Changes by tumor subtype"
316,2018,PRIMARY,grp:Black-White,SEER,10.1002/cncr.31315,29509274,Early estimates of cancer incidence for 2015: Expanding to include estimates for white and black races
321,2016,PRIMARY,male-BC,state/regional:texas,10.1186/s12885-016-2324-z,27118258,Risks of developing breast and colorectal cancer in association with incomes and geographic locations in Texas: A retrospective cohort study
322,2006,PRIMARY,subtype:HR/HER2;male-BC;grp:AANHPI,SEER;state/regional:hawaii;state/regional:pacific island,10.1007/s10549-005-9088-5,16322891,Inter- and intra-ethnic differences for female breast carcinoma incidence in the continental United States and in the state of Hawaii
324,2017,PRIMARY,subtype:HR/HER2;male-BC;grp:AANHPI;grp:Hispanic,CA-registry,10.1007/s10549-017-4229-1,28365834,"Breast cancer in Asian Americans in California, 1988–2013: increasing incidence trends and recent data on breast cancer subtypes"
333,2010,PRIMARY,male-BC;grp:Hispanic,CA-registry,10.1158/1055-9965.epi-10-0021,20447917,Breast cancer incidence patterns among california hispanic women: Differences by nativity and residence in an enclave
336,2007,PRIMARY,male-BC;grp:AANHPI,SEER;state/regional:hawaii,10.1158/1055-9965.epi-07-0108,17627009,Early- and late-onset breast cancer types among women in the United States and Japan
339,2010,PRIMARY,male-BC;grp:AANHPI;grp:AIAN,AK-Native,,20167158,"Cancers of the breast, uterus, ovary and cervix among Alaska native women, 1974-2003"
346,2016,PRIMARY,male-BC;grp:Black-White,unspecified-US-registry,10.15585/mmwr.mm6540a1,27736827,"Patterns and Trends in Age-Specific Black-White Differences in Breast Cancer Incidence and Mortality - United States, 1999-2014"
354,2005,PRIMARY,male-BC;grp:Hispanic,SEER,,16259500,Explaining geographic variation in breast and cervical cancer incidence rates in US Hispanic women
358,2014,ARN,RECURRING-REPORT,multi-registry-aggregate,10.1002/cncr.28509,24343171,"Annual Report to the Nation on the status of cancer, 1975-2010, featuring  prevalence of comorbidity and impact on survival among persons with lung, colorectal, breast, or prostate cancer"
361,2010,PRIMARY,subtype:HR/HER2;male-BC;grp:AANHPI;grp:AIAN;grp:Hispanic,SEER;AK-Native;state/regional:pacific island,,20147667,Decline in US breast cancer rates after the Women's Health Initiative: socioeconomic and racial/ethnic differentials.
362,2017,ARN,RECURRING-REPORT,multi-registry-aggregate,10.1093/jnci/djx030,28376154,"Annual Report to the Nation on the Status of Cancer, 1975-2014, Featuring  Survival"
369,2018,PRIMARY,subtype:TNBC;male-BC;grp:AANHPI;grp:AIAN;grp:Hispanic,SEER;AK-Native;state/regional:pacific island,10.1007/s10549-018-4699-9,29445940,"Differences in breast cancer incidence among young women aged 20–49 years by stage and tumor characteristics, age, race, and ethnicity, 2004–2013"
377,2016,PRIMARY,male-BC;grp:Hispanic,SEER,10.1016/j.canep.2016.10.013,27792934,Racial/ethnicity disparities in invasive breast cancer among younger and older  women: An analysis using multiple measures of population health
381,2010,PRIMARY,subtype:TNBC;male-BC;grp:AANHPI,unspecified-US-registry,10.1002/cncr.25016,20336785,Age/race differences in HER2 testing and in incidence rates for breast cancer triple subtypes: A population-based study and first report
383,2002,PRIMARY,subtype:HR/HER2,SEER,10.1023/a:1016361932220,12206512,Rates for breast cancer characteristics by estrogen and progesterone receptor status in the major racial/ethnic groups
384,2006,ARN,RECURRING-REPORT,multi-registry-aggregate,10.1002/cncr.22193,16958083,"Annual report to the nation on the status of cancer, 1975-2003, featuring cancer  among U.S. Hispanic/Latino populations"
385,2025,PRIMARY,grp:AANHPI;grp:AIAN,NCDB;state/regional:hawaii;state/regional:pacific island,10.1245/s10434-025-16974-x,,"Disparities in Stage at Presentation for Disaggregated Asian American, Native Hawaiian, and Pacific Islander Patients with Breast Cancer"
402,2016,PRIMARY,male-BC;grp:Black-White,unspecified-US-registry,10.14423/smj.0000000000000396,26741869,"Disparities in Breast Cancer Incidence, Mortality, and Quality of Care among African American and European American Women in South Carolina"
405,2013,PRIMARY,subtype:HR/HER2;male-BC;grp:AANHPI;grp:Hispanic,SEER;state/regional:pacific island,10.1007/s10549-013-2434-0,23446808,A trend analysis of breast cancer incidence rates in the United States from 2000 to 2009 shows a recent increase
411,2015,ARN,RECURRING-REPORT,multi-registry-aggregate,10.1093/jnci/djv048,25825511,"Annual report to the nation on the status of cancer, 1975-2011, featuring incidence of breast cancer subtypes by race/ethnicity, poverty, and state"
413,2005,ARN,RECURRING-REPORT,multi-registry-aggregate,10.1093/jnci/dji289,16204691,"Annual report to the nation on the status of cancer, 1975-2002, featuring  population-based trends in cancer treatment"
415,2006,PRIMARY,male-BC;grp:AIAN,SEER;AK-Native,,17929614,Women's cancers among Alaska Natives 1969-2003.
419,2011,PRIMARY,subtype:TNBC;male-BC;grp:Hispanic,CA-registry,10.1002/cncr.25862,21656753,Higher population-based incidence rates of triple-negative breast cancer among young African-American women
424,2002,PRIMARY,male-BC;grp:AANHPI;grp:Hispanic,MEC-cohort;state/regional:hawaii,,12223421,Breast cancer in a multiethnic cohort in Hawaii and Los Angeles: Risk factor-adjusted incidence in Japanese equals and in Hawaiians exceeds that in whites
425,2025,PRIMARY,subtype:HR/HER2;male-BC;grp:AANHPI,SEER;state/regional:pacific island,10.1016/j.canep.2025.102861,40543242,Regional disparities in incidence and outcomes of invasive ductal carcinoma of the breast among Asian and Pacific Islander women in the United States
426,2025,PRIMARY,subtype:lobular;grp:Hispanic,unspecified-US-registry,10.1016/j.clbc.2024.12.015,39837694,"Trends in Incidence of Invasive Lobular Carcinoma of the Breast by Race: Patterns by Age, Cancer Stage, and Socioeconomic Factors in the United States, 1992-2019"
427,2025,PRIMARY,grp:AANHPI,CA-registry;state/regional:hawaii;state/regional:pacific island,10.1007/s10552-024-01907-y,39438356,"The role of ethnic enclaves and neighborhood socioeconomic status in invasive breast cancer incidence rates among Asian American, Native Hawaiian, and Pacific Islander females in California"
428,2007,PRIMARY,male-BC;grp:AIAN,SEER;AK-Native,,18323374,Women's cancers among Alaska Natives: [corrected] 1969-2003.
436,2026,PRIMARY,male-BC;grp:Hispanic,SEER,10.1177/10732748261470901,42466659,"Incidence, Trends, and Racial/Ethnic Disparities in Female Breast Cancer in the United States, 2000-2023: A SEER Based Study"
438,2007,PRIMARY,subtype:HR/HER2;subtype:lobular;male-BC;grp:AANHPI;grp:Hispanic,SEER;state/regional:pacific island,10.1158/1055-9965.epi-07-0546,18086787,"Changes in breast cancer incidence rates in the United States by histologic subtype and race/ethnicity, 1995 to 2004"
448,2006,PRIMARY,male-BC;grp:AANHPI;grp:Hispanic,state/regional:massachusetts;state/regional:pacific island,10.1007/s10552-005-0408-1,16425100,"Race/ethnicity and changing US socioeconomic gradients in breast cancer incidence: California and Massachusetts, 1978-2002 (United States)"
453,2010,PRIMARY,subtype:TNBC,unspecified-US-registry,10.1007/s10552-009-9472-2,20024610,Racial differences in the incidence of breast cancer subtypes defined by combined histologic grade and hormone receptor status
455,2013,PRIMARY,male-BC;grp:AANHPI;grp:Hispanic,SEER;state/regional:hawaii;state/regional:pacific island,10.1038/bjc.2013.387,23907433,Comparison of clinicopathologic features and survival in young American women aged 18-39 years in different ethnic groups with breast cancer
461,2015,PRIMARY,grp:AANHPI;grp:AIAN;grp:Hispanic,AK-Native,10.1353/hpu.2015.0089,26320932,"Trends and Patterns of Late and Unstaged Lung, Colorectal, Female Breast, and  Prostate Cancers among American Indians in the Northern Plains, 2002-2009"
463,2007,PRIMARY,subtype:HR/HER2;subtype:lobular;male-BC;grp:AANHPI,SEER;state/regional:pacific island,10.1002/ijc.22432,17163416,Recent trends in breast cancer incidence among 6 Asian groups in the Greater Bay Area of Northern California
474,2026,PRIMARY,subtype:TNBC;grp:Hispanic,SEER,10.1007/s10552-025-02114-z,41546752,"Persistent poverty and breast cancer incidence by tumor subtype: intersections of rural/urban residence and race within USA Surveillance Epidemiology and End Results Registries, 2017 to 2021"
475,2002,PRIMARY,subtype:HR/HER2;male-BC;grp:Black-White,SEER,10.1023/a:1013960609008,11899120,The greater impact of menopause on ER- than ER+ breast cancer incidence: A possible explanation (United States)
476,2026,PRIMARY,male-BC;grp:Hispanic,unspecified-US-registry,10.1007/s10552-026-02134-3,41665696,"Rural–urban disparities in breast cancer incidence among US women aged 20–49: trends by race/ethnicity, stage, poverty, and state from 2000–2019"
477,2026,PRIMARY,male-BC;grp:Hispanic,unspecified-US-registry,10.1007/s10552-025-02124-x,41649619,"Spillover effects of public school integration in the southern United States: diverging trends in statewide annual breast cancer incidence, 2001–2019"
480,2015,PRIMARY,subtype:HR/HER2;male-BC;grp:AANHPI,SEER;state/regional:detroit,10.1016/j.annepidem.2014.09.006,25442056,Changes in the pattern of breast cancer burden among African American women: Evidence based on 29 states and District of Columbia during 1998 to 2010
485,2009,PRIMARY,male-BC;grp:AANHPI;grp:AIAN;grp:Hispanic,SEER,10.1158/1055-9965.epi-08-0679,19124489,"Trends in area-socioeconomic and race-ethnic disparities in breast cancer incidence, stage at diagnosis, screening, mortality, and survival among women ages 50 years and over (1987-2005)"
500,2020,PRIMARY,male-BC;grp:AANHPI;grp:AIAN;grp:Hispanic,AK-Native,10.1097/ede.0000000000001140,31764279,"Trends in Cancer Incidence among American Indians and Alaska Natives and Non-Hispanic Whites in the United States, 1999-2015"
504,2025,PRIMARY,grp:Hispanic,CA-registry,10.1002/cam4.71088,40736150,Cancer Incidence and Trends in Persistent Poverty Areas of California by Race/Ethnicity and Sex
510,2016,ACS-AANHPI,RECURRING-REPORT,multi-registry-aggregate,10.3322/caac.21335,26766789,"Cancer statistics for Asian Americans, Native Hawaiians, and Pacific Islanders, 2016: Converging incidence in males and females"
516,2023,PRIMARY,subtype:HR/HER2;male-BC;grp:Hispanic,state/regional:detroit,10.1002/cam4.6065,37184135,The role of area-level socioeconomic disadvantage in racial disparities in cancer incidence in metropolitan Detroit
517,2017,ACS-BreastStats,RECURRING-REPORT,multi-registry-aggregate,10.3322/caac.21412,28972651,"Breast cancer statistics, 2017, racial disparity in mortality by state"
522,2023,PRIMARY,subtype:TNBC;male-BC;grp:AANHPI;grp:Hispanic,state/regional:hawaii;state/regional:pacific island,10.1007/s10552-022-01659-7,36504334,"Characterizing breast cancer incidence and trends among Asian American, Native Hawaiian, and non-Hispanic White women in Hawaiʻi, 1990-2014"
541,2022,PRIMARY,male-BC;grp:Black-White,state/regional:pennsylvania,10.1007/s10549-021-06492-1,35064367,Racial and socioeconomic disparities in breast cancer diagnosis and mortality in Pennsylvania
543,2022,ACS-AABlack,RECURRING-REPORT,multi-registry-aggregate,10.3322/caac.21718,35143040,Cancer statistics for African American/Black People 2022
565,2017,PRIMARY,male-BC;grp:AANHPI,state/regional:hawaii;state/regional:guam,10.1016/j.canep.2017.08.005,29120826,Cancer in Guam and Hawaii: A comparison of two U.S. Island populations
587,2009,PRIMARY,male-BC;grp:Hispanic;grp:MiddleEastern/Arab,CA-registry,10.1111/j.1524-4741.2009.00694.x,19292805,"Breast cancer in the middle eastern population of California, 1988-2004"
603,2015,PRIMARY,male-BC;grp:Black-White,state/regional:connecticut,10.2105/ajph.2015.302640,25905822,"Secular trends, race, and geographic disparity of early-stage breast cancer incidence: 25 years of surveillance in Connecticut"
605,2002,ARN,RECURRING-REPORT,multi-registry-aggregate,10.1002/cncr.10593,12173348,"Annual report to the nation on the status of cancer, 1973-1999, featuring implications of age and aging on U.S. cancer burden"
612,2022,ACS-BreastStats,RECURRING-REPORT,multi-registry-aggregate,10.3322/caac.21754,36190501,"Breast Cancer Statistics, 2022"
617,2007,ARN,RECURRING-REPORT,multi-registry-aggregate,10.1002/cncr.23044,17939129,"Annual report to the nation on the status of cancer, 1975-2004, featuring cancer  in American Indians and Alaska Natives"
687,2005,PRIMARY,male-BC;grp:Black-White,state/regional:north carolina,10.1016/j.annepidem.2005.02.006,15922628,"Urbanization and breast cancer incidence in North Carolina, 1995-1999"
694,2001,ARN,RECURRING-REPORT,multi-registry-aggregate,10.1093/jnci/93.11.824,11390532,"Annual report to the nation on the status of cancer (1973 through 1998),  featuring cancers with recent increasing trends"
701,2025,PRIMARY,grp:MiddleEastern/Arab,unspecified-US-registry,10.1007/s10552-025-01968-7,39937364,"Geographic differences in early-onset breast cancer incidence trends in the USA, 2001–2020, is it time for a geographic risk score?"
751,2004,PRIMARY,subtype:IBC;male-BC;grp:AANHPI,state/regional:pacific island,10.1023/b:caco.0000024222.61114.18,15090727,Population-based statistics for women diagnosed with inflammatory breast cancer (United States)
754,2024,PRIMARY,male-BC,state/regional:guam;state/regional:pacific island,10.1016/j.canep.2024.102611,38996557,Breast cancer incidence and stage at diagnosis in the six US-Affiliated Pacific  Islands
788,2019,ARN,RECURRING-REPORT,multi-registry-aggregate,10.1093/jnci/djz106,31145458,"Annual Report to the Nation on the Status of Cancer, Featuring Cancer in Men and Women Age 20–49 Years"
825,2000,ARN,RECURRING-REPORT,multi-registry-aggregate,10.1002/(sici)1097-0142(20000515)88:10<2398::aid-cncr26>3.0.co;2-i,10820364,"The annual report to the nation on the status of cancer, 1973-1997, with a  special section on colorectal cancer"
916,2023,PRIMARY,grp:Hispanic,CA-registry,10.1093/jnci/djac238,36622036,Disparities in cancer incidence by rurality in California
