record_id,author_year,registry,period,std_pop,outcome_dim,minority_group,comparison_vs,minority_rate,min_ci_lo,min_ci_hi,nhw_rate,nhw_ci_lo,nhw_ci_hi,irr,irr_ci_lo,irr_ci_hi,provenance,source_location,notes,verification
265,Anderson2008_SEER_19066264,SEER,2008,US SEER age-specific rates (within-study Black/White ratio; std pop cancels),age-ge40,Black,White,239.5,,,281.3,,,0.851,0.841,0.862,computed-from-rates-with-CI,JNCI text (crossover),"age-crossover: Black>White <40, White>Black >=40; ratio CI computed from age-band rate CIs (Table); std pop verify",hand-extracted
SEER-EXPL,SEER22_Explorer_2019-2023,SEER-21,2019-2023,2000 US,aggregate-vs-NHW,Black,NHW,132.4,,,141.3,,,0.937,0.929,0.945,computed-from-rates-with-CI,"SEER Explorer Nov2025 by-race (annual mean, non-delay)","SEER-national ANCHOR (registry direct, NOT a screened study); reference not for main pool (non-independent w/ rec210/169); NH-API 0.823 masks disaggregated 0.38-1.26 (rec234)",anchor
SEER-EXPL,SEER22_Explorer_2019-2023,SEER-21,2019-2023,2000 US,aggregate-vs-NHW,Hispanic,NHW,107.8,,,141.3,,,0.763,0.757,0.769,computed-from-rates-with-CI,"SEER Explorer Nov2025 by-race (annual mean, non-delay)","SEER-national ANCHOR (registry direct, NOT a screened study); reference not for main pool (non-independent w/ rec210/169); NH-API 0.823 masks disaggregated 0.38-1.26 (rec234)",anchor
SEER-EXPL,SEER22_Explorer_2019-2023,SEER-21,2019-2023,2000 US,aggregate-vs-NHW,Asian/PI (aggregate),NHW,116.3,,,141.3,,,0.823,0.815,0.831,computed-from-rates-with-CI,"SEER Explorer Nov2025 by-race (annual mean, non-delay)","SEER-national ANCHOR (registry direct, NOT a screened study); reference not for main pool (non-independent w/ rec210/169); NH-API 0.823 masks disaggregated 0.38-1.26 (rec234)",anchor
SEER-EXPL,SEER22_Explorer_2019-2023,SEER-21,2019-2023,2000 US,aggregate-vs-NHW,AIAN,NHW,119.6,,,141.3,,,0.846,0.808,0.887,computed-from-rates-with-CI,"SEER Explorer Nov2025 by-race (annual mean, non-delay)","SEER-national ANCHOR (registry direct, NOT a screened study); reference not for main pool (non-independent w/ rec210/169); NH-API 0.823 masks disaggregated 0.38-1.26 (rec234)",anchor
3662,Melkonian2021_IHS-PRCDA,"IHS-linked (NPCR/SEER, PRCDA)",2012-2016,2000 US,AIAN,AIAN (Southern Plains),NHW,151.0,,,121.0,,,1.25,1.11,1.41,directly-reported-IRR,AJE Table (regional),"AI/AN n=373 vs NHW n=1488; region verified vs PDF (Table 2/3, breast by IHS region); PRCDA-restricted",hand-extracted
3662,Melkonian2021_IHS-PRCDA,"IHS-linked (NPCR/SEER, PRCDA)",2012-2016,2000 US,AIAN,AIAN (Northern Plains),NHW,158.7,,,119.0,,,1.33,1.26,1.41,directly-reported-IRR,AJE Table (regional),AI/AN n=1337 vs NHW n=11905; region verified vs PDF; national aggregate=0.85 but regional >1,hand-extracted
3298,Carozza2006_multistate,Multi-state registries (NAACCR),1995-2000,2000 US,Hispanic-origin,Hispanic/Latina (aggregate),NHW,89.2,,,,,,0.64,,,directly-reported-SIR,text (SIR vs NHW),"SIR 0.64 vs NHW, 0.79 vs NHB; multi-state; CI in table (verify); period approx-verify",hand-extracted
3182,Pinheiro2009_FL,Florida Cancer Registry,1999-2001,2000 US,Hispanic-origin,Cuban,NHW,108.0,96.7,120.3,140.4,137.6,143.2,0.769,0.688,0.860,computed-from-rates-with-CI,Table 4 (origin female-breast rates); Table 2 (NHW-FL reference),"NHW-Florida female breast 140.4 (137.6-143.2), 2000 US std, reported in Table 2; author rounded IR-ratio=0.8",hand-extracted
3182,Pinheiro2009_FL,Florida Cancer Registry,1999-2001,2000 US,Hispanic-origin,Mexican,NHW,71.9,53.1,95.2,140.4,137.6,143.2,0.512,0.382,0.686,computed-from-rates-with-CI,Table 4 (origin female-breast rates); Table 2 (NHW-FL reference),"NHW-Florida female breast 140.4 (137.6-143.2), 2000 US std, reported in Table 2; author rounded IR-ratio=0.5",hand-extracted
3182,Pinheiro2009_FL,Florida Cancer Registry,1999-2001,2000 US,Hispanic-origin,Puerto Rican,NHW,116.9,103.7,131.4,140.4,137.6,143.2,0.833,0.738,0.939,computed-from-rates-with-CI,Table 4 (origin female-breast rates); Table 2 (NHW-FL reference),"NHW-Florida female breast 140.4 (137.6-143.2), 2000 US std, reported in Table 2; author rounded IR-ratio=0.8",hand-extracted
3182,Pinheiro2009_FL,Florida Cancer Registry,1999-2001,2000 US,Hispanic-origin,New Latino,NHW,97.8,88.4,107.9,140.4,137.6,143.2,0.697,0.629,0.771,computed-from-rates-with-CI,Table 4 (origin female-breast rates); Table 2 (NHW-FL reference),"NHW-Florida female breast 140.4 (137.6-143.2), 2000 US std, reported in Table 2; author rounded IR-ratio=0.7",hand-extracted
2406,Sung2020_USCS50,USCS 50-state (NPCR+SEER),2011-2015,2000 US,male-BC,Black (men),White (men),2.75,,,1.81,,,1.52,1.44,1.6,directly-reported-IRR,Table 1 (overall male),male BC Black>White all subtypes; period verify,hand-extracted
2406,Sung2020_USCS50,USCS 50-state (NPCR+SEER),2011-2015,2000 US,male-BC-HRpos-HER2neg,Black (men),White (men),,,,,,,1.41,1.32,1.5,directly-reported-IRR,Table 1,male HR+/HER2-,hand-extracted
2406,Sung2020_USCS50,USCS 50-state (NPCR+SEER),2011-2015,2000 US,male-BC-HRpos-HER2pos,Black (men),White (men),,,,,,,1.65,1.4,1.93,directly-reported-IRR,Table 1,male HR+/HER2+,hand-extracted
2406,Sung2020_USCS50,USCS 50-state (NPCR+SEER),2011-2015,2000 US,male-BC-TNBC,Black (men),White (men),,,,,,,2.27,1.67,3.03,directly-reported-IRR,Table 1,male TNBC Black 2.3x White,hand-extracted
2406,Sung2020_USCS50,USCS 50-state (NPCR+SEER),2011-2015,2000 US,male-BC-HRneg-HER2pos,Black (men),White (men),,,,,,,2.62,1.48,4.43,directly-reported-IRR,Table 1,male HR-/HER2+,hand-extracted
2406,Sung2020_USCS50,USCS 50-state (NPCR+SEER),2011-2015,2000 US,aggregate-vs-NHW,Black (women),White (women),177.0,,,181.5,,,0.98,0.97,0.98,directly-reported-IRR,Table 1 (female overall),female aggregate Black/White; note rates higher than SEER (age/pop - verify),hand-extracted
28,Nash2019_ANTR,Alaska Native Tumor Registry (SEER),2009-2014,2000 US,AIAN,Alaska Native,US White,145.0,130.4,159.5,133.0,132.2,133.8,1.09,0.99,1.21,directly-reported-IRR,Table 3 (all ages),distinct AIAN pop (ANTR); trend 0.44(1969-78)->1.09(2009-14) rising/converging; comparator=US White,hand-extracted
199,Baquet2008_SEER9,SEER 9,1995-2004,2000 US,age-lt40,Black (age<40),White,,,,,,,1.16,1.1,1.23,directly-reported-IRR,Results text,younger Black>White (crossover); comparator=White (SEER),hand-extracted
107,Zahrieh2021_NM-SEER,New Mexico (SEER),2005-2014,2000 US,AIAN,AIAN,NHW,,,,,,,0.384,0.253,0.546,directly-reported-IRR,"Table (overall RR, Bayesian)",New Mexico AI/AN (Southwest low-incidence); 95% credible interval,hand-extracted
161,Loo2019_HTR,Hawaii Tumor Registry (SEER),2000-2016,2000 US,subtype-HRpos-HER2neg,Native Hawaiian,White,,,,,,,1.12,1.11,1.14,directly-reported-IRR,Results text,Hawaii multiethnic; comparator=Whites,hand-extracted
161,Loo2019_HTR,Hawaii Tumor Registry (SEER),2000-2016,2000 US,subtype-HRpos-HER2pos,Native Hawaiian,White,,,,,,,1.35,1.347,1.351,directly-reported-IRR,Results text,"Hawaii multiethnic; comparator=Whites | corrected 1.34[1.31,1.37]->1.35(1.347-1.351) per Loo Table",hand-extracted
161,Loo2019_HTR,Hawaii Tumor Registry (SEER),2000-2016,2000 US,subtype-HRneg-HER2pos,Native Hawaiian,White,,,,,,,1.19,1.16,1.21,directly-reported-IRR,Results text,Hawaii multiethnic; comparator=Whites,hand-extracted
161,Loo2019_HTR,Hawaii Tumor Registry (SEER),2000-2016,2000 US,subtype-TNBC,Native Hawaiian,White,,,,,,,0.86,0.79,0.91,directly-reported-IRR,Results text,Hawaii multiethnic; comparator=Whites,hand-extracted
161,Loo2019_HTR,Hawaii Tumor Registry (SEER),2000-2016,2000 US,subtype-HRpos-HER2neg,Japanese,White,,,,,,,1.03,1.03,1.04,directly-reported-IRR,Results text,Hawaii multiethnic; comparator=Whites,hand-extracted
161,Loo2019_HTR,Hawaii Tumor Registry (SEER),2000-2016,2000 US,subtype-HRpos-HER2pos,Japanese,White,,,,,,,1.03,1.02,1.05,directly-reported-IRR,Results text,Hawaii multiethnic; comparator=Whites,hand-extracted
161,Loo2019_HTR,Hawaii Tumor Registry (SEER),2000-2016,2000 US,subtype-HRneg-HER2pos,Japanese,White,,,,,,,0.88,0.82,0.95,directly-reported-IRR,Results text,Hawaii multiethnic; comparator=Whites,hand-extracted
161,Loo2019_HTR,Hawaii Tumor Registry (SEER),2000-2016,2000 US,subtype-HRpos-HER2neg,Filipino,White,,,,,,,0.64,0.63,0.66,directly-reported-IRR,Results text,Hawaii multiethnic; comparator=Whites,hand-extracted
161,Loo2019_HTR,Hawaii Tumor Registry (SEER),2000-2016,2000 US,subtype-HRpos-HER2pos,Filipino,White,,,,,,,0.88,0.86,0.91,directly-reported-IRR,Results text,Hawaii multiethnic; comparator=Whites,hand-extracted
161,Loo2019_HTR,Hawaii Tumor Registry (SEER),2000-2016,2000 US,subtype-TNBC,Filipino,White,,,,,,,0.84,0.8,0.88,directly-reported-IRR,Results text,Hawaii multiethnic; comparator=Whites,hand-extracted
161,Loo2019_HTR,Hawaii Tumor Registry (SEER),2000-2016,2000 US,subtype-HRpos-HER2neg,Chinese,White,,,,,,,0.58,,,directly-reported-IRR,Results text,Hawaii multiethnic; comparator=Whites; source CI garbled(OCR) - PDF for CI,hand-extracted
161,Loo2019_HTR,Hawaii Tumor Registry (SEER),2000-2016,2000 US,subtype-HRpos-HER2pos,Chinese,White,,,,,,,0.72,0.55,0.9,directly-reported-IRR,Results text,Hawaii multiethnic; comparator=Whites,hand-extracted
161,Loo2019_HTR,Hawaii Tumor Registry (SEER),2000-2016,2000 US,subtype-TNBC,Chinese,White,,,,,,,0.53,0.39,0.71,directly-reported-IRR,Results text,Hawaii multiethnic; comparator=Whites,hand-extracted
203,Brinton2008_SEER13,SEER 13,1992-2004,2000 US,age-lt40,Black,White,2.3,,,1.5,,,1.533,1.352,1.739,computed-from-rates-Poisson-SE,Table 1,age<30 young Black excess (crossover),hand-extracted
522,Ihenacho2023_HTR,Hawaii Tumor Registry (SEER),2010-2014,2000 US,age-ge50,Native Hawaiian,NHW,137.6,128.2,147.4,100.7,94.7,106.9,1.366,1.246,1.499,computed-from-rates-with-CI,Results (older >=50),AANHPI Hawaii age>=50,hand-extracted
522,Ihenacho2023_HTR,Hawaii Tumor Registry (SEER),2010-2014,2000 US,age-ge50,Japanese,NHW,107.1,100.9,113.4,100.7,94.7,106.9,1.064,0.978,1.157,computed-from-rates-with-CI,Results (older >=50),AANHPI Hawaii age>=50,hand-extracted
522,Ihenacho2023_HTR,Hawaii Tumor Registry (SEER),2010-2014,2000 US,age-ge50,Filipina,NHW,77.9,71.8,84.2,100.7,94.7,106.9,0.774,0.700,0.855,computed-from-rates-with-CI,Results (older >=50),AANHPI Hawaii age>=50,hand-extracted
522,Ihenacho2023_HTR,Hawaii Tumor Registry (SEER),2010-2014,2000 US,age-lt50,Japanese,NHW,39.5,33.9,45.4,26.7,24.6,28.9,1.479,1.252,1.748,computed-from-rates-with-CI,Results (young <50),AANHPI Hawaii age<50,hand-extracted
522,Ihenacho2023_HTR,Hawaii Tumor Registry (SEER),2010-2014,2000 US,age-lt50,Native Hawaiian,NHW,22.9,19.2,27.0,26.7,24.6,28.9,0.858,0.710,1.036,computed-from-rates-with-CI,Results (young <50),AANHPI Hawaii age<50,hand-extracted
522,Ihenacho2023_HTR,Hawaii Tumor Registry (SEER),2010-2014,2000 US,age-lt50,Filipina,NHW,20.5,17.1,24.3,26.7,24.6,28.9,0.768,0.633,0.932,computed-from-rates-with-CI,Results (young <50),AANHPI Hawaii age<50,hand-extracted
10,Davis Lynn2025_SEER17,SEER 17,2013-2015,Segi world,aggregate-vs-NHW,Black,NHW,148.5,146.4,150.7,152.9,151.9,153.8,0.971,0.956,0.987,computed-from-rates-with-CI,Table 2,"overall; Segi world std, age 20-74 (flag: not 2000 US)",hand-extracted
10,Davis Lynn2025_SEER17,SEER 17,2013-2015,Segi world,subtype-HRpos,Black,NHW,105.4,103.6,107.3,128.5,127.9,129.7,0.820,0.805,0.836,computed-from-rates-with-CI,Table 2,ER-positive age-std,hand-extracted
10,Davis Lynn2025_SEER17,SEER 17,2013-2015,Segi world,subtype-HRneg,Black,NHW,43.1,42.0,44.3,24.0,23.6,24.4,1.796,1.740,1.853,computed-from-rates-with-CI,Table 2,ER-negative (aggressive) age-std,hand-extracted
333,Keegan2010_CCR,California Cancer Registry,1988-2004,2000 US,aggregate-vs-NHW,Hispanic,NHW,78.3,77.4,79.1,125.7,125.1,126.2,0.623,0.616,0.630,computed-from-rates-with-CI,text,"overall Hispanic vs NHW, Keegan 2010 Table 1 (NHW 125.7 [125.1-126.2], Hispanic 78.3 [77.4-79.1]); verified vs uploaded PDF; 88.3 was a neighborhood-SES tertile rate (not overall)",hand-extracted
146,Xu2024_SEER,SEER,2000-2019,2000 US,age-lt50,Black,NHW,,,,,,,1.01,1.0,1.03,directly-reported-IRR,Table (ages 20-49),early-onset (20-49); RR vs NHW,hand-extracted
146,Xu2024_SEER,SEER,2000-2019,2000 US,age-lt50,Asian/PI (aggregate),NHW,,,,,,,0.96,0.95,0.97,directly-reported-IRR,Table (ages 20-49),early-onset (20-49); RR vs NHW,hand-extracted
146,Xu2024_SEER,SEER,2000-2019,2000 US,age-lt50,AIAN,NHW,,,,,,,0.75,0.72,0.79,directly-reported-IRR,Table (ages 20-49),early-onset (20-49); RR vs NHW,hand-extracted
146,Xu2024_SEER,SEER,2000-2019,2000 US,age-lt50,Hispanic,NHW,,,,,,,0.76,0.75,0.77,directly-reported-IRR,Table (ages 20-49),early-onset (20-49); RR vs NHW,hand-extracted
155,Sung2023_USCS,USCS(NPCR+SEER),2015-2019,2000 US,subtype-TNBC,Black,NHW,25.2,,,12.9,,,1.950,1.930,1.980,directly-reported-IRR,Results text,"TNBC IRR vs White; rates directly reported in JAMA Oncol abstract (PMID 36862439), NHW ref 12.9; IRR=rate/12.9; CI from supplement; corroborated by USCS sibling rec 209 (Zhang 2022)",source-verified-eTable1
155,Sung2023_USCS,USCS(NPCR+SEER),2015-2019,2000 US,subtype-TNBC,AIAN,NHW,11.2,,,12.9,,,0.860,0.800,0.930,directly-reported-IRR,Results text,"TNBC IRR vs White; rates directly reported in JAMA Oncol abstract (PMID 36862439), NHW ref 12.9; IRR=rate/12.9; CI from supplement",source-verified-eTable1
155,Sung2023_USCS,USCS(NPCR+SEER),2015-2019,2000 US,subtype-TNBC,Hispanic,NHW,11.1,,,12.9,,,0.860,0.840,0.880,directly-reported-IRR,Results text,"TNBC IRR vs White; rates directly reported in JAMA Oncol abstract (PMID 36862439), NHW ref 12.9; IRR=rate/12.9; CI from supplement",source-verified-eTable1
155,Sung2023_USCS,USCS(NPCR+SEER),2015-2019,2000 US,subtype-TNBC,Asian/PI (aggregate),NHW,9.0,,,12.9,,,0.700,0.680,0.720,directly-reported-IRR,Results text,"TNBC IRR vs White; rates directly reported in JAMA Oncol abstract (PMID 36862439), NHW ref 12.9; IRR=rate/12.9; CI from supplement",source-verified-eTable1
2510,Melkonian2019_IHS-PRCDA,"IHS-linked (NPCR/SEER, PRCDA)",2012-2016,2000 US,AIAN,AIAN,White,,,,,,,0.87,,,directly-reported-IRR,Results (Table 3),national AI/AN vs white; CI in Table 3 (flag); PRCDA-linked; breast lower but rising,hand-extracted
2131,Xie2022_USCS,USCS(NPCR+SEER),1999-2017,2000 US,aggregate-vs-NHW,Black,White (NH),123.2,122.9,123.6,131.0,130.8,131.1,0.940,0.938,0.943,computed-from-rates-with-CI,Table (avg rate),comparator=White (likely NH); overall invasive,hand-extracted
2131,Xie2022_USCS,USCS(NPCR+SEER),1999-2017,2000 US,aggregate-vs-NHW,AIAN,White (NH),94.0,92.7,95.4,131.0,130.8,131.1,0.718,0.707,0.728,computed-from-rates-with-CI,Table (avg rate),comparator=White (likely NH); overall invasive,hand-extracted
2131,Xie2022_USCS,USCS(NPCR+SEER),1999-2017,2000 US,aggregate-vs-NHW,Asian/PI (aggregate),White (NH),90.9,90.4,91.4,131.0,130.8,131.1,0.694,0.690,0.698,computed-from-rates-with-CI,Table (avg rate),comparator=White (likely NH); overall invasive,hand-extracted
2131,Xie2022_USCS,USCS(NPCR+SEER),1999-2017,2000 US,aggregate-vs-NHW,Hispanic,White (NH),93.0,92.7,93.4,131.0,130.8,131.1,0.710,0.707,0.713,computed-from-rates-with-CI,Table (avg rate),comparator=White (likely NH); overall invasive,hand-extracted
381,Lund2010_AtlantaSEER,Metropolitan Atlanta (SEER),2003-2004,2000 US,subtype-HRpos-HER2neg,Black,White (NH),86.7,,,110.7,,,0.783,,,computed-from-rates,Discussion text,ER+/PR+/HER2- luminal; Hispanics excluded (White=NHW); no CI in text,hand-extracted
381,Lund2010_AtlantaSEER,Metropolitan Atlanta (SEER),2003-2004,2000 US,subtype-TNBC,Black,White (NH),36.3,,,19.4,,,1.871,,,computed-from-rates,Discussion text,triple-negative; Black nearly 2x White; no CI in text,hand-extracted
