record_id,citation,data_source,groups_vs_nhw,outcome_measure,synthesis,note,pmid,doi
66,Age distributions of breast cancer diagnosis and mortality by race and ethnicity in US women (2021),SEER 21,minority vs NH-White,incidence rates by age/race,quantitative,SEER21 2014-2017 invasive incidence by age and race,34427920,10.1002/cncr.33846
76,Trends in breast cancer by race and ethnicity (2003),SEER,race/ethnicity,rates-by-race table 1975-2000,quantitative,SEER female breast incidence by race table; check overlap w/ SEER national trends,15224974,10.3322/canjclin.53.6.342
80,"Breast, Colorectal, and Prostate Cancer Incidence among Filipino Americans by Generational Status in the Multiethnic Cohort Study (2024)",Multiethnic Cohort,Filipino by generation,cohort incidence,narrative,MEC Filipino generational; comparator=generation not NHW -> verify/narrative,39132985,10.1158/1055-9965.epi-24-0647
93,Disparities in breast cancer subtypes among women in the lower Mississippi Delta Region states (2019),NAACCR (7 Delta states),White vs Black + subtype,age-adjusted rates + RR,quantitative,lower Mississippi Delta subtype-specific rates/RR 2012-2014,30972520,10.1007/s10552-019-01168-0
100,Invasive breast cancer incidence trends by detailed race/ethnicity and age (2012),LA County (CSP/CA-SEER),detailed race/ethnicity incl Filipina vs NHW,AAIR per 100k trends,quantitative,LA County 1976-2007 detailed race incl Filipina vs NH white,21351091,10.1002/ijc.26004
101,Cumulative Incidence Rates of Breast Cancer by Age for Filipinos and Chamorros in Guam (2020),Guam CR + Hawaii TR + SEER,Chamorro/Filipino Guam/Hawaii,cumulative incidence by age,narrative,cumulative incidence metric not age-adjusted rate/100k -> narrative,32596677,
103,Age-specific incidence of breast cancer subtypes: Understanding the black-white crossover (2012),California Cancer Registry,race/ethnicity + subtype,age-specific rates + IRR,quantitative,black-white crossover subtype CCR 2006-2009,22773826,10.1093/jnci/djs264
107,Quantification of Potential Inequities in Breast Cancer Incidence in New Mexico Through Bayesian Disease Mapping (2021),SEER (New Mexico),AI/AN vs NHW,Bayesian posterior rate ratio,quantitative,NM AI/AN vs NHW breast incidence RR 2005-2014,33705303,10.5888/pcd18.200468
119,Disparities of cancer incidence in Michigan's American Indians: Spotlight on breast cancer (2014),Michigan registry (IHS-linked),American Indian vs White,age-adjusted invasive breast rates,quantitative,Michigan AI IHS-linked breast incidence vs white; small numbers,24676851,10.1002/cncr.28589
126,Incidence trends of breast cancer molecular subtypes by age and race/ethnicity in the US from 2010 to 2016 (2020),SEER 18,race/ethnicity + subtype,age-standardized rates + APC,quantitative,subtype incidence by race/age 2010-2016; overlaps SEER subtype (2/46),32804214,10.1001/jamanetworkopen.2020.13226
134,"Breast cancer incidence among American Indian and Alaska Native women: US, 1999-2004 (2008)",SEER/NPCR (IHS-linked),AI/AN vs NHW by IHS region,age-adjusted rates + RR,quantitative,key IHS-linked national AI/AN vs NHW 1999-2004,18720389,10.1002/cncr.23725
141,Decreasing Incidence of Estrogen Receptor-Negative Breast Cancer in the United States: Trends by Race and Region (2022),SEER 12/17,NHB/NHW/HW,fitted ER-negative rates + RR/APC,quantitative,ER-negative incidence by race + region 1992-2016,34508608,10.1093/jnci/djab186
142,Are There Regional Differences in Triple Negative Breast Cancer among Non-Hispanic Black Women? (2021),USCS,NHB by region (no NHW),TNBC rate per 100k by region,narrative,TNBC NHB regional comparison; comparator=region not NHW -> narrative,32778443,10.1016/j.jnma.2020.07.016
144,Rapidly rising breast cancer incidence rates among Asian-American women (2002),LA County / CCR + SEER,Asian-American ethnic groups vs NHW,age-adjusted + age-specific rates,quantitative,rapidly rising AA incidence LA County; overlaps CCR (100/324),12115511,10.1002/ijc.10415
145,Persistence in breast cancer disparities between African Americans and whites in Wisconsin (2011),Wisconsin (WCRS),African American vs White,age-adjusted incidence rates,quantitative,Wisconsin AA vs white breast incidence 1995-2006,21473509,
146,"Breast Cancer Incidence Among US Women Aged 20 to 49 Years by Race, Stage, and Hormone Receptor Status (2024)",SEER 17,race/ethnicity + HR,ASIR + IRR,quantitative,young women 20-49 IRR by race + HR SEER17 2000-2019,38277147,10.1001/jamanetworkopen.2023.53331
151,"Cancer incidence trends among asian american populations in the united states, 1990-2008 (2013)",SEER,disaggregated Asian American vs NHW,age-adjusted rates + APC,quantitative,landmark disaggregated Asian incidence SEER 1990-2008,23878350,10.1093/jnci/djt157
155,State Variation in Racial and Ethnic Disparities in Incidence of Triple-Negative Breast Cancer among US Women (2023),USCS,race/ethnicity vs White by state,age-standardized IR + IRR,quantitative,TNBC state variation IRR vs White USCS 2015-2019,36862439,10.1001/jamaoncol.2022.7835
158,"Trends in breast cancer incidence rates by race/ethnicity: Patterns by stage, socioeconomic position, and geography in the United States, 1999-2017 (2022)",NAACCR CiNA,race/ethnicity vs NHW (age 50-84),age-adjusted rates by stage/SES/geography,quantitative,NAACCR incidence by race 1999-2017; age 50-84 restricted,34731501,10.1002/cncr.34008
161,The high and heterogeneous burden of breast cancer in Hawaii: A unique multiethnic U.S. Population (2019),Hawaii Tumor Registry,White/Japanese/Native Hawaiian/Filipino/Chinese,age-adjusted rates + subtype,quantitative,Hawaii 5 groups age-adjusted breast incidence + subtype,30503975,10.1016/j.canep.2018.11.006
169,"Trends in Breast Cancer Incidence, by Race, Ethnicity, and Age Among Women Aged ≥20 Years - United States, 1999-2018 (2022)",USCS,race/ethnicity/age,age-adjusted incidence rates,quantitative,USCS MMWR incidence by race/age 1999-2018; overlaps USCS (14/142) -> dedup,35025856,10.15585/mmwr.mm7102a2
178,Trends in stage at diagnosis for young breast cancer patients in the United States (2019),NAACCR (42 states) + SEER,NH white/black young-onset,stage-specific incidence rates,narrative,young-onset stage-at-diagnosis focus; overall invasive-by-race not primary -> narrative,30426307,10.1007/s10549-018-5042-1
182,"Vital signs: Racial disparities in breast cancer severity - United States, 2005-2009 (2012)",USCS,black vs white,incidence + IRR + MIR,quantitative,Vital Signs USCS black/white incidence 2005-2009 (severity focus),23151952,
188,Trends in breast cancer by race and ethnicity: Update 2006 (2006),SEER + NAACCR,race/ethnicity,age-standardized rates by race/SES,quantitative,ACS trends update 2006; overlaps 76 trends series -> dedup,16737949,
190,"Cancer Incidence Rate Variations among the Chinese, South Asian, and Vietnamese  in Massachusetts, 2011-2015 (2020)",Massachusetts Cancer Registry,Chinese/S.Asian/Vietnamese (ref=All Asians),age-adjusted rates vs All Asians/All MA,narrative,reference is All-Asian not NHW -> narrative/context,34128917,
199,"Breast cancer epidemiology in blacks and whites: Disparities in incidence, mortality, survival rates and histology (2008)",SEER,black vs white,age-adjusted incidence + RR 1.16,quantitative,SEER black/white incidence 1995-2004,18507200,10.1016/s0027-9684(15)31294-3
200,Breast Cancer Incidence in Black and White Women Stratified by Estrogen and Progesterone Receptor Statuses (2012),SEER 17,black vs white + ER/PR,age-specific + cumulative incidence + RR,quantitative,black/white ER/PR crossover SEER17 2004-2008,23166647,10.1371/journal.pone.0049359
203,Recent trends in breast cancer among younger women in the United States (2008),SEER 13,NH white/black/Hispanic/API,age-adjusted rates + IRR,quantitative,young women black-white IRR 1.52 (<30) SEER13 1992-2004,19001605,10.1093/jnci/djn344
205,Breast cancer incidence rates in U.S. women re no longer declining (2011),SEER 12,race/ethnicity + ER,age-standardized rates,quantitative,incidence by race/ER 2000-2007 (decline plateau),21357727,10.1158/1055-9965.epi-11-0061
207,"Cancer incidence trends among native hawaiians and other pacific islanders in the united states, 1990-2008 (2013)",SEER,disaggregated NHOPI,age-adjusted rates + APC,quantitative,disaggregated NHOPI incidence SEER 1990-2008 (companion to 151),23878354,10.1093/jnci/djt156
234,"Breast Cancer Incidence in Asian American, Native Hawaiian, and Pacific Islander Populations, 2000-2022 (2026)",SEER-21,detailed AANHPI ethnicities vs NHW,age-adjusted rate table 2018-2022 + trends,quantitative,disaggregated AANHPI incidence + NHW comparator,42377954,10.1001/jamanetworkopen.2026.21250
236,Hidden breast cancer disparities in Asian women: disaggregating incidence rates by ethnicity and migrant status. (2010),California Cancer Registry,Asian ethnicity + nativity vs NHW,age-adjusted rates + IRRs,quantitative,Gomez hidden-disparities; Chinese IRR 1.84 Filipina 1.32; CCR 1998-2004,20147696,
324,"Breast cancer in Asian Americans in California, 1988–2013: increasing incidence trends and recent data on breast cancer subtypes (2017)",California Cancer Registry,AA ethnic groups vs NHW,IRRs vs NHW overall + subtype,quantitative,strong extractable IRRs incl TNBC 0.61; CCR 1988-2013,28365834,10.1007/s10549-017-4229-1
333,Breast cancer incidence patterns among california hispanic women: Differences by nativity and residence in an enclave (2010),California Cancer Registry,Hispanic by nativity vs NHW,age-adjusted rates,quantitative,NHW 34% higher than US-born 84% higher than foreign-born Hispanic,20447917,10.1158/1055-9965.epi-10-0021
