record_id,citation,pmid,doi,exclusion_reason,detail
4065,"Cancer Statistics, 2014 (2014)",24399786,10.3322/caac.21208,Overlapping or duplicate dataset,recurring statistical report (ACS-Annual); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative
4066,"Annual Report to the Nation on the Status of Cancer, 1975-2007, Featuring Tumors of the Brain and Other Nervous System (2011)",21454908,10.1093/jnci/djr077,Overlapping or duplicate dataset,recurring statistical report (ARN); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative
4071,"Annual report to the nation on the status of cancer, 1975-2000, featuring the uses of surveillance data for cancer prevention and control (2003)",12953083,10.1093/jnci/djg040,Overlapping or duplicate dataset,recurring statistical report (ARN); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative
4164,"Annual Report to the Nation on the Status of Cancer, 1975-2005, Featuring Trends in Lung Cancer, Tobacco Use, and Tobacco Control (2008)",19033571,10.1093/jnci/djn389,Overlapping or duplicate dataset,recurring statistical report (ARN); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative
4172,"Cancer statistics, 2013 (2013)",23335087,10.3322/caac.21166,Overlapping or duplicate dataset,recurring statistical report (ACS-Annual); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative
4213,"Cancer statistics for Hispanics/Latinos, 2012 (2012)",22987332,10.3322/caac.21153,Overlapping or duplicate dataset,recurring statistical report (ACS-Hispanic); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative
4216,"Annual Report to the Nation on the status of cancer, 1975-2008, featuring cancers associated with excess weight and lack of sufficient physical activity (2012)",22460733,10.1002/cncr.27514,Overlapping or duplicate dataset,recurring statistical report (ARN); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative
4357,"Cancer statistics for Hispanics, 2003 (2003)",12924775,10.3322/canjclin.53.4.208,Overlapping or duplicate dataset,recurring statistical report (ACS-Hispanic); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative
157,Breast cancer trends among black and white women in the United States (2005),16258086,10.1200/jco.2004.01.0421,Full text unavailable,"could not obtain: ASCO/JCO paywalled + bot-blocked; Black-White SEER trends, redundant with other B-W registry studies"
253,Breast cancer patterns and lifetime risk of developing breast cancer among Puerto Rican females. (2000),10761199,,Full text unavailable,could not obtain: Puerto Rican lifetime risk (PRCCR); some overlap w/ other Hispanic/PR studies
415,Women's cancers among Alaska Natives 1969-2003. (2006),17929614,,Full text unavailable,could not obtain: Women's cancers Alaska Natives 1969-2003; overlaps AK Native Registry (51) & other AIAN
424,Breast cancer in a multiethnic cohort in Hawaii and Los Angeles: Risk factor-adjusted incidence in Japanese equals and in Hawaiians exceeds that in whites (2002),12223421,,Full text unavailable,"could not obtain: Hawaii/LA Multiethnic Cohort, Japanese risk-adjusted incidence; overlaps MEC subgroup studies"
428,Women's cancers among Alaska Natives: [corrected] 1969-2003. (2007),18323374,,Full text unavailable,could not obtain: Women's cancers Alaska Natives (corrected dup of 415)
476,"Rural–urban disparities in breast cancer incidence among US women aged 20–49: trends by race/ethnicity, stage, poverty, and state from 2000–2019 (2026)",41665696,10.1007/s10552-026-02134-3,Full text unavailable,"could not obtain: Rural-urban BC 20-49 by race; overlaps other rural-urban studies (474,477,916,1800)"
2038,"Incidence trends in triple-negative breast cancer among women in the United States from 2010 to 2019 by race/ethnicity, age and tumor stage (2023)",,,Full text unavailable,no DOI/PMID; could not obtain; TNBC-by-race topic covered by 155/209/286/2406
3116,"Time trends and racial differences in female breast cancer incidence in Pennsylvania, 1985-2004 (2011)",,10.1089/jwh.2010.2082,Full text unavailable,"could not obtain: Time trends BC incidence Pennsylvania 1985-2004; state registry, redundant regionally"
3268,Improving cancer incidence estimates for American Indians in Wisconsin (2007),17844709,,Full text unavailable,"could not obtain: Improving cancer incidence estimates American Indians Wisconsin; AIAN methods, overlaps other AIAN"
