"Title","Author Names","Source title","Publication Year","Publication Type","ISSN","Abstract","Author Keywords","Article Language","Embase Accession ID","Medline PMID","DOI"
"Characterizing cancer patterns in Okinawan vs. mainland Japanese Americans: The Multiethnic Cohort Study","Streicher S.A., Guillermo C., Park S.-Y., Chiang C.W.K., Shepherd J., Sheng X., Bogumil D., Park S.L., Cheng I., Lim U., Franke A.A., Stram D.O., Conti D.V., Haiman C.A., Wilkens L.R., Le Marchand L.","medRxiv","2025","Preprint",,"Differences in cancer rates have been documented in Japan between Okinawa and mainland Japan. Limited data exist on whether these differences are also present for established populations of Okinawans and mainland Japanese in the United States. Dimensionality reduction techniques for genetic data combined with Okinawan surnames were used to identify Multiethnic Cohort Japanese American participants (N=24,484) of Okinawan or mainland descent. Cox proportional hazards models were used to compare cancer incidence between Okinawan and mainland Japanese participants. Geometric means were examined on a subset of MEC participants for circulating blood biomarker levels (N=2,980) and body composition (N=399). The Okinawan cluster included 3,649 individuals and the mainland cluster included 19,611 individuals. Okinawan individuals were more likely to have a higher average body mass index and shorter stature, better diet quality score, higher total energy intake, more alcohol consumption among drinkers, and a history of never smoking compared to mainland Japanese (all p-values<0.0001). In multivariable adjusted models, Okinawan women were more likely to be diagnosed with breast cancer (HR=1.36, 95% CI=1.07-1.73) and Okinawan men were less likely to be diagnosed with aggressive prostate cancer (HR=0.67, 95% CI=0.51-0.87) compared to their mainland Japanese counterparts. In subsets of MEC participants, adiponectin levels were lower, and C-reactive protein levels, visceral adipose tissue area (VAT) and the VAT-to-subcutaneous adipose tissue area ratio were higher, in Okinawans compared to mainland Japanese (all p-values<0.05). Results in this US-based sample are consistent with recent trends of higher breast and lower prostate cancer incidence rates in Okinawans reported from Japan.","biomarkers,body composition,cancer,Okinawan","English",,,10.1101/2025.07.14.25331338
"Social disparities in triple-negative breast cancer incidence and severity at diagnosis in Greater Paris, France: confronting race and ethnic blindness.","Chauvin P., Huet T., Gligorov J., Sargent C.","medRxiv","2025","Preprint",,"Triple-negative breast cancer (TNBC), an aggressive subtype with poor prognosis, is of higher frequency in African-American women and women of Sub-Saharan African origin. In France, legal constraints on obtaining health data on race, ethnicity, or nationality in cancer registries and medical records make it difficult to estimate the prevalence of TNBC according to women's origins. These constraints result from a historical “universalist” approach to French citizenship which prohibits the routine collection of ethno-racial data. An anonymous, statistical survey we conducted from the medical records of 780 women with breast cancer followed in a university hospital in Paris showed that TNBCs were at least 3 times more common in women born in Sub-Saharan Africa than in women born in France. The former consulted at a more advanced stage of the disease than the latter. The results of an ethnographic study of African women in the Paris region with breast cancer, conducted for several years, highlighted some explanatory factors: low breast cancer awareness, perceived causes far from biomedical etiology, the weight of shame and secrecy, prior recourse to local healing, difficulties in communicating with health professionals and navigating the healthcare system. Considered a public health priority, TNBCs are an emblematic example of the limits produced by French race and ethnicity blindness in public health, epidemiology, prevention and health care.",,"English",,,10.1101/2025.07.10.25331284
"Incidence, Mortality, and Survival in Breast Cancer by Molecular Subtypes in Manizales - Colombia, 2016–2019: A Population-Based Study","Moreno-Villegas V., Arias-Ortiz N.E.","SSRN","2025","Preprint","1556-5068","A paucity of studies has been conducted on the epidemiological behavior of breast cancer (BC) according to molecular subtype from population-based data in Latin American populations. This study aimed to describe the incidence, mortality, and five-year overall survival of invasive BC in women in Manizales, Colombia, between 2016 and 2019, according to molecular subtype. A retrospective cohort study was conducted using 570 cases registered in the Manizales Population-Based Cancer Registry. Age-adjusted incidence and mortality rates were calculated, and survival was estimated using Kaplan-Meier curves and Cox proportional hazards models. The most frequent subtype was Luminal A (31.1%), with an incidence of 12.3 cases per 100,000 woman-years, followed by Luminal B/HER2- (23.9%; 10.1 per 100,000). Among deaths, the most common subtype was Luminal B/HER2- (20.8%; 2.6 deaths per 100,000), followed by triple-negative tumors (16.2%; 2.0 per 100,000); in 43.3% of deceased patients, the subtype was unknown. Five-year overall survival varied notably by subtype: 91.5% for Luminal A, 76.8% for Luminal B/HER2-, 74.2% for Luminal B/HER2+, 80.0% for HER2+, 58.7% for triple-negative, and 47.6% for unknown subtypes (log-rank=94.6; p<0.0001). In multivariate analysis, patients with Luminal B/HER2- (HR=2.09; 95%CI: 1.1–4.1), triple-negative (HR=2.96; 95%CI: 1.4–6.3), and unknown subtypes (HR=5.52; 95%CI: 2.8–11.0) had significantly higher mortality risks compared to Luminal A, even after adjusting for clinical and socioeconomic variables. These findings underscore the importance of molecular subtype identification and timely access to comprehensive cancer care to improve breast cancer outcomes in the region.","breast cancer,incidence,Luminal A,molecular subtype,Survival","English",,,10.2139/ssrn.5297886
"Analysis and comparison of the burden of male breast cancer: differences between the global, China, India, and the United States","An B., Che M., Liu Y., Yang X., Li Z.","BMC public health","2025","Article","1471-2458 (electronic)","BACKGROUND: Male breast cancer (MBC) is characterized by an older onset age, a higher histological grade, a later TNM stage, and a worse prognosis compared to female breast cancer. This places considerable pressure on global health systems. This study reviewed the trends of MBC burden in China, the United States of America, India, and worldwide from 1990 to 2021. METHODS: Data was obtained from the Global Burden of Disease (GBD) 2021 study. The Joinpoint regression model was used to calculate the annual percentage change (APC) and the average annual percentage change (AAPC). In addition, the age-period-cohort (APC) model was employed to explore the effects of age, period, and cohort on CRC mortality. Through decomposition analysis and health inequality assessment, the study explores the influence of aging, population, epidemiological changes, and income inequality on shifts in the disease burden. RESULTS: The number of MBC incidence and death cases has nearly tripled in the last three decades. In addition, Age-standardized incidence rate (ASIR) increased from 0.525 per 100,000 (95%CI: 0.460-0.603) in 1990 to 0.941 per 100,000 (95%CI: 0.605-1.155) in 2021. According to the Joinpoint model, the global average annual percentage change (AAPC) in the burden of MBC incidence and mortality from 1990 to 2021 was positive. Meanwhile, among the three countries evaluated, only the United States had a negative AAPC. Similarly, using the APC model, the net drift of incidence and mortality in the United States was - 1.081% [95% CI: (-1.400%, -0.7617%)] and - 1.360% [95% CI: (-2.464%, -0.2441%)]. The decomposition analysis revealed that epidemiological changes exerted the most significant influence on the global, Chinese, and Indian cases, accounting for 47.17%, 65.44%, and 50.44% respectively. On Health Inequities research shows that between 1990 and 2021, health inequities between different locations have shown a downward trend. CONCLUSIONS: The United States, a representative of high SDI countries, has shown an overall reduction in the burden of MBC. India and China have both experienced an increase in the burden of MBC since 1990. Health organizations in different regions should take active steps to reduce the worrisome burden of MBC.","1990–2021,China,Global burden of disease,India,Male breast cancer,MBC,United States","English",,40604532,10.1186/s12889-025-23120-5
"Geographic differences in early-onset breast cancer incidence trends in the USA, 2001–2020, is it time for a geographic risk score?","Kehm R.D., Daaboul J.M., Tehranifar P., Terry M.B.","Cancer Causes and Control","2025","Article","1573-7225 (electronic),0957-5243","Purpose: Breast cancer (BC) incidence is increasing in US women under 40, with variation across racial and ethnic groups. It is not yet known if incidence trends also vary by geography within the USA, which may inform whether place-based exposures contribute to BC risk in younger women. Methods: Using the US Cancer Statistics database, we analyzed age-adjusted BC incidence rates from 2001 to 2020 in women aged 25–39. We calculated the average annual percent change (AAPC) using Joinpoint regression and performed age-period-cohort analyses. Results: From 2001 to 2020, BC incidence in women under 40 increased by more than 0.50% per year in 21 states, while remaining stable or decreasing in the other states. Incidence was 32% higher in the five states with the highest rates compared to the five states with the lowest rates. The Western region had the highest rate of increase (AAPC = 0.76, 95% CI 0.56–0.96), despite having the lowest absolute incidence rate from 2001 to 2020. The Northeast had the highest absolute rate of BC among women under 40 and experienced a significant increase over time (AAPC = 0.59, 95% CI 0.36–0.82). The South was the only region where BC under 40 did not increase from 2001 to 2020. Conclusion: These findings support that BC incidence trends in US women under 40 vary by geography, and the range of state-specific risks was comparable in magnitude to other risk measures, such as polygenic risk scores. This suggest that incorporating place-based factors alongside established risk factors into risk prediction may improve our ability to identify groups of younger women at higher risk for early-onset BC.","Age-period-cohort analysis,Cancer incidence trends,Disparities,Early-onset breast cancer,Geography,Young women","English",,39937364,10.1007/s10552-025-01968-7
"Medical Racism and Physician Trust Impressions of African-American Breast Cancer Patients Enrolled on the Navigator-Assisted Hypofractionation (NAVAH) Phase I Clinical Trial","Davis K.J., Burnette U.J., Sun Y., Stephens M.J., Onyewadume L., McClelland S.","American Journal of Clinical Oncology: Cancer Clinical Trials","2025","Article","1537-453X (electronic),0277-3732","Objectives: The historical distrust between the African-American community and the medical system, rooted in systemic racism, continues to affect health care outcomes today. Although Caucasian women have the largest incidence of breast cancer diagnoses, African-American women have the highest mortality rate. Furthermore, studies show African-American women are less likely to receive hypofractionated radiation therapy (RT). The Navigation-Assisted Hypofractionation (NAVAH) program was designed to identify the barriers preventing equal access to adjuvant hypofractionated RT while also addressing the inequities by utilizing patient navigation services to improve breast cancer survivorship in African-American women. This study explored patients' perceptions of racism in medicine, offering new insights into this critical, yet understudied aspect of health care disparities. Methods: This is a prospective study of African-American breast cancer patients enrolled in the ongoing NAVAH phase I clinical trial. Following consent to receive RT, pretreatment surveys were administered. Surveys assessed participants' distrust of medical professionals and if care was impacted as a result. Each patient answered a series of questions with responses on a scale from strongly agree to strongly disagree. The significance of patients' views on medical racism and physician trust was evaluated using the Kendall tau correlation. A P-value of ≤0.05 was considered statistically significant. Results: The Kendall tau test was used to analyze the data accounting for the possible nonlinear, monotonic nature of the data. Patients believing harmful events have taken place at medical centers were significantly less likely to trust doctors (P=0.03). Of the remaining sets of questions assessed, only the correlation between the belief that African-Americans receive the same care as other patients and the likelihood of following hospital-given advice approached statistical significance (P=0.055). Lessons: Patients' perception of treatment within the medical system can greatly impact their decision to seek care and adhere to treatment, which in return can have a substantial impact on oncologic outcomes. Our findings indicate that patient trust in physicians is significantly impacted by patient perceptions of the likelihood of harmful event occurrence at medical centers, with the correlation of perceived medical racism and obeying hospital-given advice trending towards significance.","African-American race,breast cancer,health disparities,medical racism,patient navigation,physician trust","English",,40025854,10.1097/COC.0000000000001183
"Associations of Cruciferous Vegetable Intake with Breast Cancer Survival in a Diverse Population in the Pathways Study","Tang L., Wang Z., Hsiao H.-H., Kwan M.L., Ergas I.J., Roh J.M., Valice E., Yao S., Zhu Q., Quesenberry C.P., Ambrosone C.B., Kushi L.H.","Cancer Epidemiology Biomarkers and Prevention","2025","Article","1538-7755 (electronic),1055-9965","Background: Beneficial effects of cruciferous vegetable intake on breast cancer survival have long been postulated because they are primary sources of isothiocyanates, phytochemicals with multifaceted anticancer activities. However, observational studies have reported inconsistent results. We hypothesized that variations in vegetable types and polymorphisms in isothiocyanate-metabolizing genes across self-identified race and ethnicity contribute to such inconsistencies. Methods: In the Pathways Study, a prospective cohort study of women diagnosed with breast cancer between 2005 and 2013 at Kaiser Permanente Northern California, cruciferous vegetable intake was assessed at diagnosis using food frequency questionnaires. Functional polymorphisms in isothiocyanate-metabolizing genes were identified in the literature and genotyped. Cox proportional hazards models were used to calculate hazard ratios (HR) and 95% confidence intervals (CI). The analysis included 3,656 (2,489 non-Hispanic White, 241 Black, 463 Asian, 378 Hispanic, and 85 others) participants. Results: An overall inverse association between cruciferous vegetable intake and risk of total invasive events, including recurrence, second primary cancers, and death, was observed in age-adjusted models (HR, 0.86; 95% CI per serving, 0.77–0.97), whereas no significant dose-dependent associations were observed in multivariable analyses (HR, 0.91; 95% CI per serving, 0.78–1.05). Within racial and ethnic groups, significant associations were observed with different individual vegetables and in women with certain genotypes of isothiocyanate-metabolizing genes. Conclusions: Vegetable types and isothiocyanate-metabolizing gene polymorphisms affect the associations of cruciferous vegetable intake with breast cancer survival. Impact: Our findings highlight the importance of considering race and ethnicity when evaluating cruciferous vegetable intake in breast cancer survival.",,"English",,40298917,10.1158/1055-9965.EPI-24-1861
"Cancer Incidence and Survival after Emergency Department Care in the U.S. Midwest: An Opportunity for Cancer Interception","Sherman M.E., Heckman M.G., DeStephano C.C., White L.J., St. Sauver J.L., Pfeiffer R.M.","Cancer Prevention Research","2025","Article","1940-6215 (electronic),1940-6207","Historically, cancers diagnosed via the emergency department (ED) portend a poor prognosis. Recent data from the United States are sparse, and analyses of cancers detected in the years following ED visits are lacking. Thus, we analyzed data from nine rural U.S. Midwest counties included within the population-based Rochester Epidemiology Project (2015–2021). Participants without a history of cancer (N = 42,074) who did not receive ED care were matched 1:1 to ED participants on the date of ED visit, age, sex, race, ethnicity, and county of residence. Ana-lyses were restricted to participants with records ≤2 years prior to ED or index visit and ≥30 days after. HRs and 95% confidence intervals (CI) comparing cancer incidence and deaths among ED and non-ED participants were estimated from Cox proportional hazards regression models, either unadjusted or adjusted for covariates. Cumulative cancer incidence curves accounting for competing risks of death and survival (all cause and cancer-specific) were estimated. The median follow-up was 6.3 years, with 2,719 (6.46%) cancers diagnosed among ED participants and 3,139 (7.46%) among non-ED participants. ED participants experienced lower cancer risk overall (HR(Adjusted) = 0.70; 95% CI, 0.66–0.74; P = 8.89 × 10(-31)), specifically for breast cancer, prostate cancer, melanoma, and secondary cancers. Cancer-specific mortality was higher among ED participants (HR(Adjusted) = 1.76; 95% CI, 1.49–2.08; P = 3.62 × 10(-11)). Compared with non-ED participants, ED participants experienced a lower incidence of cancer but higher overall cancer-specific mortality, suggesting that subsets of ED patients may benefit from postvisit preventive interventions.",,"English",,40192659,10.1158/1940-6207.CAPR-24-0426
"Enhancing Colon Cancer Risk Prediction in Machine Learning Models using Polygenic Risk Scores","Kim K., Sathu H., Hornback A., Isgut M., Traynelis J., Wang M.D.","Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference","2025","Article","2694-0604 (electronic)","Colon cancer is one of the deadliest types of cancer in the United States, with close to 50,000 projected deaths in 2024. The disease requires early diagnosis to optimize chances of survival by enabling timely administration of treatment. To investigate the key non-genetic (NG) factors influencing the onset of colon cancer and evaluate how genetic factors enhance the performance of machine learning (ML) models in predicting incidence, we incorporated polygenic risk scores (PRSs) alongside NG data in ML models to predict 10-year incident risk prediction of colon cancer using data from the UK Biobank. This approach enabled us to assess the added predictive value of PRSs in multi-modal models in estimating the 10-year risk of developing colon cancer over NG data alone. Moreover, our research focused on identifying the most relevant and predictive PRS and validating them using a robust ML framework. To ensure the robustness, we restricted the cohort to White British individuals to minimize ancestry-related heterogeneity. PRSs have proven effective in enhancing disease prediction for conditions such as breast cancer, myocardial infarction, and schizophrenia, reinforcing their relevance in clinical research. Exploring six PRSs, our goal was to minimize false negatives while simultaneously maximizing area under the receiver-operating characteristic curve (AUC), in order to improve early detection rates by identifying those who are at risk for colon cancer. This research shows that PRSs can be used to enhance overall predictive ability of ML models in colon cancer research over NG factors alone, bolstering the argument for incorporating PRSs into routine clinical practice. PRSs can also help minimize false negatives, a key feature for disease prediction models, as missed potential diagnoses are life-threatening.",,"English",,41336924,10.1109/EMBC58623.2025.11252666
"In-utero and newborn factors and thyroid cancer incidence in adult women in the Sister Study cohort","Tran T.-V.-T., O’Brien K.M., Troisi R., Sandler D.P., Kitahara C.M.","British Journal of Cancer","2025","Article","1532-1827 (electronic),0007-0920","Background: Thyroid cancer is diagnosed at relatively young ages compared to other adult cancers, for reasons that remain unclear. Our study aimed to investigate associations of in-utero and newborn characteristics with differentiated thyroid cancer (DTC) incidence in adult women. Methods: From the U.S. nationwide Sister Study cohort, we included 47,913 cancer-free women at baseline (2003–2009). We assessed associations of participants’ in-utero and newborn characteristics and DTC during follow-up using Cox regression models adjusted for attained age (timescale) and race/ethnicity. Results: During follow-up (median = 13.1 years), 239 incident DTC cases were identified. Higher DTC incidence was associated with maternal pre-pregnancy or gestational diabetes (hazard ratio [HR] = 2.36, 95%CI = 0.97–5.74, 5 affected cases), gestational hypertension or hypertension-related disorders (HR = 1.99, 95%CI = 1.20–3.32, 16 affected cases), and higher birth weight (HR per kg=1.24, 95%CI = 0.95–1.60). Births occurring at least two weeks before the due date were associated with lower DTC incidence (HR = 0.47, 95%CI = 0.23–0.97, 8 affected cases). In a model simultaneously adjusted for all these factors, all exposures remained associated with DTC incidence. We observed no associations for other in-utero and newborn characteristics. Conclusions: These findings contribute to a growing body of evidence that in-utero exposures related to maternal metabolic abnormalities may influence thyroid cancer risk later in life.",,"English",,40204946,10.1038/s41416-025-03004-6
"Differences in Trends in Cancer Incidence Rates Among People With HIV During 2001-2019 by Race and Ethnicity and by Risk Group in the United States","Luo Q., Horner M.-J., Haas C.B., Mcgee-Avila J.K., Pfeiffer R.M., Engels E.A., Pawlish K., Monterosso A., Riedel D.J., Wu X.-C., Gonsalves L., Speers S., Cohen C., Shiels M.S.","Clinical Infectious Diseases","2025","Article","1537-6591 (electronic),1058-4838","Background It is unclear whether cancer risk among people with human immunodeficiency virus (HIV, PWH) has declined equally across all racial/ethnic and transmission risk groups. Methods We used data on PWH aged ≥20 years from the HIV/AIDS Cancer Match Study during 2001-2019. We used Poisson regression to assess time trends in incidence rates for each cancer site by racial/ethnicity and risk groups, adjusting for age, registry, and sex. We also estimated adjusted rate ratios across racial and ethnic and risk groups in 2001-2004 and 2015-2019. Results Trends in age-standardized rates differed across racial/ethnic groups and across risk groups for some cancers. For example, liver cancer rates declined 23% per 5-year period among White PWH, 11% among Black PWH, and 18% among Hispanic PWH. Anal cancer rates declined among men who have sex with men, were stable among people who inject drugs, and increased among other risk groups. Between 2001-2004 and 2015-2019, the relative difference in cancer incidence rates by race/ethnicity increased for Hodgkin lymphoma (HL) and liver cancer but decreased for non-Hodgkin lymphoma (NHL); by risk group, relative differences increased for NHL and liver cancer and decreased for HL and lung and anal cancers. Conclusions Among PWH in the United States during 2001-2019, HL, lung, liver, and cervical cancer rate trends were different across racial/ethnic groups. HL, lung, anal, and liver cancer rate trends were different across risk groups. Future work should examine underlying causes of the differences in trends.","cancer,differences in trends,HIV,incidence rate ratio","English",,39509333,10.1093/cid/ciae555
"Cancer Incidence and Mortality Estimates in Latin America and the Caribbean: A Population-Based Study","Felipe Leite L., Diniz da Conceição L., Saldanha E.F., de Menezes J., de Melo A.C., Borea R., Corassa M., Velazquez Manana A., Cardona A.F., Arrieta O., Rios-Garcia E., Corrales L., Rolfo C., Cordeiro de Lima V.C.","SSRN","2025","Preprint","1556-5068","Background: Cancer is a leading cause of morbidity and mortality in Latin America and the Caribbean (LAC). We aimed to present and interpret the cancer incidence and mortality statistics for 32 countries in the LAC region to inform research priorities, health services, and cancer policy.<br><br>Methods: The number of new cases and deaths for all cancers combined and for the leading cancers was extracted from the Global Cancer Observatory (GLOBOCAN 2022) database, developed by the International Agency for Research on Cancer, for 32 countries in LAC. We estimated age-standardized incidence rates (ASIRs) and age-standardized mortality rates (ASMRs) per 100,000 person-years and projected the cancer burden to 2050 using demographic forecasts. We also modeled different incidence and mortality scenarios (±1%, ±2%, ±3% per year) to evaluate plausible future trends in the cancer burden. Data on race or ethnicity were not abstracted.<br><br>Findings: In 2022, LAC recorded 1,551,060 new cancer cases (ASIR 186.6 per 100,000) and 749,242 deaths (ASMR 85.2 per 100,000). Brazil accounted for 40% of the region’s cases (627,193) and 37% of deaths (278,835). Prostate cancer was the most common among men (225,316 cases; ASIR 58.0), and breast cancer among women (168,536 cases; ASIR 41.7). Prostate cancer was the leading cause of cancer death in men (60,792 deaths; ASMR 13.9), while breast cancer was the leading causeamong women (61,228 deaths; ASMR 13.2). Countries with very high Human Development Index (HDI) had higher ASIRs but lower ASMRs. In contrast, medium-HDI countries, such as Haiti and Honduras, had lower incidence but higher mortality-to-incidence ratios (MIR >0.60). Projections indicate that by 2050, the region will face nearly 2.9 million new cancer cases and over 1.5 million deaths annually. Under accelerated growth (+2%/year), incidence may exceed 3 million cases; conversely, a 2% annual reduction in mortality could avert over 1.7 million deaths by 2050.<br><br>Interpretation: The current patterns of cancer incidence and mortality in LAC are primarily driven by prostate and breast cancer, with lung cancer contributing to the highest mortality burden among men. Disparities persist, with lower-HDI countries experiencing disproportionately high mortality rates relative to incidence. Strengthening regional collaboration and expanding access to cancer prevention, screening, and essential treatment are critical to reducing the growing burden and improving outcomes across the region.","c&aacute,Cancer burden,cancer disparities,cancer epidemiology,Latin America and the Caribbean,ncer projections","English",,,10.2139/ssrn.5284031
"Mapping the uneven landscape: A geospatial analysis of breast cancer incidence and mammography access across Illinois (2017-2021)","Ogunwale W.O., Ajao O.A., Ogunbayo O.E.","medRxiv","2025","Preprint",,"Breast cancer continues to place a significant burden on women's health in the United States, but that burden is not shared equally across regions. This study looks at how breast cancer incidence and access to mammography services differ across Illinois, using data from 2017 to 2021. By analyzing county-level figures on breast cancer cases, facility availability, and social indicators, we identified patterns using spatial tools like ArcGIS Pro, GeoDa, and statistical modeling in R. Our analysis showed that the risk of being diagnosed with breast cancer varies considerably depending on where a woman lives. Some counties reported incidence rates more than three times higher than others. Meanwhile, mammography facility density varied just as widely, suggesting serious gaps in healthcare infrastructure. Spatial analysis confirmed that high-incidence areas often cluster together, particularly in central Illinois. However, these high-burden counties did not always lack screening centers, pointing to the influence of other factors beyond access alone. Multivariable models showed that counties with higher education levels tended to report more diagnoses, likely due to better screening participation. Conversely, more facilities per capita were associated with slightly lower incidence, possibly reflecting earlier detection and prevention. Race and poverty did not show significant associations once spatial and statistical adjustments were made. These findings suggest the need for more than just increasing the number of screening centers. Effective solutions will require investing in education, improving outreach, and addressing broader systemic barriers to care. Public health strategies can become more targeted, equitable, and effective by considering geography and local context.",,"English",,,10.1101/2025.06.03.25328939
"Trends in Immunotherapy (IO) Use and Survival Among Patients With High-Incidence Stage IV Cancers Across the United States","Warwar S.C., Janczewski L.M., Rodriguez G.M., Wayne J.D., Bentrem D.J.","Journal of Surgical Oncology","2025","Article","1096-9098 (electronic),0022-4790","Background and Objectives: IO has transformed cancer management, but its adoption in advanced cancer patients varies by tumor type. With more Stage IV patients undergoing surgery, understanding site-specific outcomes in these challenging patients is essential. We aimed to evaluate IO use and survival trends for Stage IV cancer patients across high-incidence cancers in the US. Methods: Patients diagnosed with Stage IV prostate, breast, melanoma, colorectal, renal, bladder, lung, or pancreas cancer were identified from the National Cancer Database (2004–2020). Cochrane–Armitage test and Kaplan–Meier methods assessed IO and overall survival across three periods: 2004–2010, 2011–2015, and 2016–2020. Results: Among 1 425 731 Stage IV cancer patients, most had lung (50.0%), pancreas (12.5%), and breast cancer (9.3%), while the least had melanoma (2.2%). From periods 1 to 3, IO use increased from 1.0% to 24.6%, notably in melanoma (9.5% to 58.5%, p < 0.001). Melanoma exhibited the greatest survival gains (median survival: 7.1 to 14.9 months). Absolute increases in 3-year overall survival rates ranged from 3.4% in pancreas (1.7% to 5.1%) to 21.4% in melanoma (15.7% to 37.1%). Conclusions: Utilization of IO is tumor-site specific and associated with improved survival rates for Stage IV cancer, with varied success across types. Variations in receipt highlight ongoing challenges to ensure equitable adoption.","advanced cancer therapy,immunotherapy,melanoma,neoplasms by site,survival disparities","English",,39806540,10.1002/jso.28084
"Cer mortality in patients with systemic lupus erythematosus","Tan J.Y., Roy A.M., Guma M.","Journal of Investigative Medicine","2025","Article","1708-8267 (electronic),1081-5589","Systemic lupus erythematosus (SLE) is linked with an increased risk of cancers, particularly hematologic malignancies. Cancer mortality among patients with SLE in the United States remains unclear. Our cross-sectional study sought to measure trends in cancer mortality among patients with SLE in the last two decades. Cancer deaths among patients with SLE from 1999 to 2020 were analyzed from the Centers for Disease Control and Prevention’s Wide-Ranging Online Data for Epidemiologic Research (CDC WONDER). Age-adjusted mortality rates (AAMRs) per 1,000,000 individuals were measured. We used joinpoint trend analysis to determine the average annual percent change (AAPC) in AAMR trends. From 1999 to 2020, there were 2481 cancer deaths with comorbid SLE. Overall, the AAMRs of cancer among patients with SLE increased from 0.71 in 1999 to 1.19 per 1,000,000 individuals in 2020, with the AAPC at +1.19. Women had a higher AAMR from cancer death with comorbid SLE than men (1.39 vs 0.29 per 1,000,000 individuals). The highest AAMR was observed among African Americans (1.23 per 1,000,000 individuals), followed by Hispanics (0.61 per 1,000,000 individuals), Whites (0.58 per 1,000,000 individuals), and Asians (0.36 per 1,000,000 individuals). Those who lived in the West region and the rural region had the highest AAMR, respectively (0.69 vs 0.70 per 1,000,000 individuals). The three most common causes of cancer deaths were lung cancer (28.70%), breast cancer (8.83%), and non-Hodgkin lymphoma (4.96%). Cancer mortality in SLE patients has risen, with higher rates among African Americans, highlighting the need for targeted interventions.","autoimmune disease,biologic,cancer,epidemiology,oncology,Rheumatology,systemic lupus erythematosus","English",,40070115,10.1177/10815589251327522
"Trends in Incidence of Invasive Lobular Carcinoma of the Breast by Race: Patterns by Age, Cancer Stage, and Socioeconomic Factors in the United States, 1992-2019","Quinn R.M., Bernal A.M., Oh S.Y., Anampa J.D.","Clinical Breast Cancer","2025","Article","1938-0666 (electronic),1526-8209","Purpose: There is scarce literature about the role of race/ethnicity and socioeconomic status on the incidence of invasive lobular carcinoma (ILC). We sought to assess trends in ILC incidence by race/ethnicity across age, cancer stage, and socioeconomic status subgroups in the United States from 1992 to 2019. Methods: This population-based cross-sectional study included data from SEER12 registries. We used the NCI's Join point Regression Program to estimate longitudinal trends in age-adjusted breast cancer incidence rates from 1992 to 2019, reported as average annual percent change (AAPC) or annual percent change (APC). We evaluated incidence trends by a combination of race/ethnicity and stage, county-level poverty, county-level metro/nonmetro status, high school education, and age. Results: From 1992 to 2019, ILC incidence rates increased across all race/ethnicity groups, with the greatest increase in non Hispanic Black (AAPC 2.6%), followed by Hispanic (AAPC 2.2%), and non Hispanic White women (AAPC 1.6%). The stronger increase in ILC incidence among Hispanic and non Hispanic Black women was predominantly seen among those living in low poverty or metropolitan areas and those older than 70. In recent years, from 2002 to 2019, the largest increase in ILC incidence was found in Hispanic women (APC 3.3%). Conclusion: Although the incidence of ILC continues to be highest in non Hispanic White women, in recent years the largest increases are seen in non Hispanic Black women and Hispanic women. Further research is warranted to better understand these trends and appropriately target at-risk populations for screening.","Breast cancer,Incidence,Obular breast cancer","English",,39837694,10.1016/j.clbc.2024.12.015
