rec_id,PMID,Title,Category / why you check it
284,42065927,"Trends in Female Breast Cancer Incidence among Japanese, Korean, and US Populations: An Age-Period-Cohort Analysis (2026)","C. INCLUDED-narrative, no PDF"
310,18162138,"Recent breast cancer trends among Asian/Pacific Islander, Hispanic, and African-American women in the US: Changes by tumor subtype (2007)","C. INCLUDED-narrative, no PDF"
316,29509274,Early estimates of cancer incidence for 2015: Expanding to include estimates for white and black races (2018),"C. INCLUDED-narrative, no PDF"
369,29445940,"Differences in breast cancer incidence among young women aged 20–49 years by stage and tumor characteristics, age, race, and ethnicity, 2004–2013 (2018)","C. INCLUDED-narrative, no PDF"
377,27792934,Racial/ethnicity disparities in invasive breast cancer among younger and older  women: An analysis using multiple measures of population health (2016),"C. INCLUDED-narrative, no PDF"
402,26741869,"Disparities in Breast Cancer Incidence, Mortality, and Quality of Care among African American and European American Women in South Carolina (2016)","C. INCLUDED-narrative, no PDF"
426,39837694,"Trends in Incidence of Invasive Lobular Carcinoma of the Breast by Race: Patterns by Age, Cancer Stage, and Socioeconomic Factors in the United States, 1992-2019 (2025)","C. INCLUDED-narrative, no PDF"
474,41546752,"Persistent poverty and breast cancer incidence by tumor subtype: intersections of rural/urban residence and race within USA Surveillance Epidemiology and End Results Registries, 2017 to 2021 (2026)","C. INCLUDED-narrative, no PDF"
477,41649619,"Spillover effects of public school integration in the southern United States: diverging trends in statewide annual breast cancer incidence, 2001–2019 (2026)","C. INCLUDED-narrative, no PDF"
504,40736150,Cancer Incidence and Trends in Persistent Poverty Areas of California by Race/Ethnicity and Sex (2025),"C. INCLUDED-narrative, no PDF"
510,26766789,"Cancer statistics for Asian Americans, Native Hawaiians, and Pacific Islanders, 2016: Converging incidence in males and females (2016)","C. INCLUDED-narrative, no PDF"
516,37184135,The role of area-level socioeconomic disadvantage in racial disparities in cancer incidence in metropolitan Detroit (2023),"C. INCLUDED-narrative, no PDF"
565,29120826,Cancer in Guam and Hawaii: A comparison of two U.S. Island populations (2017),"C. INCLUDED-narrative, no PDF"
751,15090727,Population-based statistics for women diagnosed with inflammatory breast cancer (United States) (2004),"C. INCLUDED-narrative, no PDF"
754,38996557,Breast cancer incidence and stage at diagnosis in the six US-Affiliated Pacific  Islands (2024),"C. INCLUDED-narrative, no PDF"
998,28854891,"Cancer-related risk factors and incidence of major cancers by race, gender and region; analysis of the NIH-AARP diet and health study (2017)","C. INCLUDED-narrative, no PDF"
1101,37740603,Cancer incidence in the Somali population of Olmsted County: A Rochester epidemiology project study (2023),"C. INCLUDED-narrative, no PDF"
1398,41989785,"Early-Onset Cancer Incidence Disparities Between Black and White Individuals in the US, 2003-2022 (2026)","C. INCLUDED-narrative, no PDF"
1453,41400551,"American Cancer Society’s Report on the Status of Cancer Disparities in the United States, 2025 (2026)","C. INCLUDED-narrative, no PDF"
1457,41528114,"Cancer statistics, 2026 (2026)","C. INCLUDED-narrative, no PDF"
1569,,Characterizing cancer patterns in Okinawan vs. mainland Japanese Americans: The Multiethnic Cohort Study (2025),"C. INCLUDED-narrative, no PDF"
1629,40189850,Inequalities in Fertility-Impacting Cancer Incidence Among Young Populations in the United States (2025),"C. INCLUDED-narrative, no PDF"
1637,39808161,Cancer Incidence in the Hispanic Community Health Study/Study of Latinos (HCHS/SOL)—The Onco-SOL Ancillary Study (2025),"C. INCLUDED-narrative, no PDF"
1800,38801414,"Rural–Urban Cancer Incidence and Trends in the United States, 2000 to 2019 (2024)","C. INCLUDED-narrative, no PDF"
2440,31428891,Cancer incidence and associations with known risk and protective factors: the Alaska EARTH study (2019),"C. INCLUDED-narrative, no PDF"
2453,31392297,Incidence and survival among young women with stage I-III breast cancer: Seer 2000-2015 (2019),"C. INCLUDED-narrative, no PDF"
3845,,"Characterizing inflammatory breast cancer among Arab Americans in the California, Detroit and New Jersey Surveillance, Epidemiology and End Results (SEER) registries (1988-2008) (2013)","C. INCLUDED-narrative, no PDF"
4043,37223193,"Trends in Breast Cancer Incidence and Mortality in the United States From 2004-2018: A Surveillance, Epidemiology, and End Results (SEER)-Based Study (2023)","C. INCLUDED-narrative, no PDF"
4082,40257373,"Annual Report to the Nation on the Status of Cancer, featuring state-level statistics after the onset of the COVID-19 pandemic (2025)","C. INCLUDED-narrative, no PDF"
4294,39976243,"Cancer statistics for African American and Black people, 2025 (2025)","C. INCLUDED-narrative, no PDF"
4389,24013772,Differences in the cancer burden among foreign-born and US-born Arab Americans living in metropolitan Detroit (2013),"C. INCLUDED-narrative, no PDF"
4429,28801942,"Cancer risk in different generations of Middle Eastern immigrants to California, 1988-2013 (2017)","C. INCLUDED-narrative, no PDF"
157,16258086,Breast cancer trends among black and white women in the United States (2005),"D. EXCLUDED, not retrieved (POSSIBLE MISS)"
253,10761199,Breast cancer patterns and lifetime risk of developing breast cancer among Puerto Rican females. (2000),"D. EXCLUDED, not retrieved (POSSIBLE MISS)"
415,17929614,Women's cancers among Alaska Natives 1969-2003. (2006),"D. EXCLUDED, not retrieved (POSSIBLE MISS)"
424,12223421,Breast cancer in a multiethnic cohort in Hawaii and Los Angeles: Risk factor-adjusted incidence in Japanese equals and in Hawaiians exceeds that in whites (2002),"D. EXCLUDED, not retrieved (POSSIBLE MISS)"
428,18323374,Women's cancers among Alaska Natives: [corrected] 1969-2003. (2007),"D. EXCLUDED, not retrieved (POSSIBLE MISS)"
476,41665696,"Rural–urban disparities in breast cancer incidence among US women aged 20–49: trends by race/ethnicity, stage, poverty, and state from 2000–2019 (2026)","D. EXCLUDED, not retrieved (POSSIBLE MISS)"
2038,,"Incidence trends in triple-negative breast cancer among women in the United States from 2010 to 2019 by race/ethnicity, age and tumor stage (2023)","D. EXCLUDED, not retrieved (POSSIBLE MISS)"
3116,,"Time trends and racial differences in female breast cancer incidence in Pennsylvania, 1985-2004 (2011)","D. EXCLUDED, not retrieved (POSSIBLE MISS)"
3268,17844709,Improving cancer incidence estimates for American Indians in Wisconsin (2007),"D. EXCLUDED, not retrieved (POSSIBLE MISS)"
3,41055508,"Lobular breast cancer statistics, 2025 (2025)",E. EXCLUDED w/o full text: Overlapping or duplicate dataset
5,42118535,"Stage IV Breast Cancer Incidence and Survival, 2010-202 (2026)",E. EXCLUDED w/o full text: Did not report the outcome of interest
156,36301149,"Annual report to the nation on the status of cancer, part 1: National cancer statistics (2022)",E. EXCLUDED w/o full text: Overlapping or duplicate dataset
235,32162336,"Annual report to the nation on the status of cancer, part I: National cancer statistics (2020)",E. EXCLUDED w/o full text: Overlapping or duplicate dataset
251,32671723,"Triple-negative breast cancer incidence in the United States: ecological correlations with area-level sociodemographics, healthcare, and health behaviors (2021)",E. EXCLUDED w/o full text: Did not report the outcome of interest
321,27118258,Risks of developing breast and colorectal cancer in association with incomes and geographic locations in Texas: A retrospective cohort study (2016),E. EXCLUDED w/o full text: Did not report the outcome of interest
358,24343171,"Annual Report to the Nation on the status of cancer, 1975-2010, featuring  prevalence of comorbidity and impact on survival among persons with lung, colorectal, breast, or prostate cancer (2014)",E. EXCLUDED w/o full text: Overlapping or duplicate dataset
362,28376154,"Annual Report to the Nation on the Status of Cancer, 1975-2014, Featuring  Survival (2017)",E. EXCLUDED w/o full text: Overlapping or duplicate dataset
384,16958083,"Annual report to the nation on the status of cancer, 1975-2003, featuring cancer  among U.S. Hispanic/Latino populations (2006)",E. EXCLUDED w/o full text: Overlapping or duplicate dataset
411,25825511,"Annual report to the nation on the status of cancer, 1975-2011, featuring incidence of breast cancer subtypes by race/ethnicity, poverty, and state (2015)",E. EXCLUDED w/o full text: Overlapping or duplicate dataset
788,31145458,"Annual Report to the Nation on the Status of Cancer, Featuring Cancer in Men and Women Age 20–49 Years (2019)",E. EXCLUDED w/o full text: Overlapping or duplicate dataset
968,19998273,"Annual report to the nation on the status of cancer, 1975-2006, featuring  colorectal cancer trends and impact of interventions (risk factors, screening, and treatment) to reduce future rates (2010)",E. EXCLUDED w/o full text: Overlapping or duplicate dataset
1462,41742962,Rising Breast Cancer Incidence and Poor Outcomes in Young Women: A Retrospective Study (2026),E. EXCLUDED w/o full text: Ineligible population
2151,34878180,"American Cancer Society's report on the status of cancer disparities in the United States, 2021 (2022)",E. EXCLUDED w/o full text: Overlapping or duplicate dataset
2163,,Estrogen receptor negative breast cancer incidence rates are similar in Ghanaian and Non-Hispanic Black women in the USA (2022),E. EXCLUDED w/o full text: Overlapping or duplicate dataset
3373,14974761,"Cancer Statistics, 2004 (2004)",E. EXCLUDED w/o full text: Overlapping or duplicate dataset
3429,11814064,"Cancer statistics, 2002 (2002)",E. EXCLUDED w/o full text: Overlapping or duplicate dataset
3522,,"Annual Report to the Nation on the Status of Cancer, part 2: Early assessment of the COVID-19 pandemic’s impact on cancer diagnosis (2024)",E. EXCLUDED w/o full text: Overlapping or duplicate dataset
3713,,Cancer incidence and mortality among Filipinos in the USA and the Philippines: Patterns and trends (2016),E. EXCLUDED w/o full text: Overlapping or duplicate dataset
4035,15221985,"Annual report to the nation on the status of cancer, 1975-2001, with a special feature regarding survival (2004)",E. EXCLUDED w/o full text: Overlapping or duplicate dataset
4050,23297039,"Annual Report to the Nation on the Status of Cancer, 19752009, Featuring the Burden and Trends in Human Papillomavirus (HPV)Associated Cancers and HPV Vaccination Coverage Levels (2013)",E. EXCLUDED w/o full text: Overlapping or duplicate dataset
4057,21969133,"Breast cancer statistics, 2011 (2011)",E. EXCLUDED w/o full text: Overlapping or duplicate dataset
4065,24399786,"Cancer Statistics, 2014 (2014)",E. EXCLUDED w/o full text: Overlapping or duplicate dataset
4066,21454908,"Annual Report to the Nation on the Status of Cancer, 1975-2007, Featuring Tumors of the Brain and Other Nervous System (2011)",E. EXCLUDED w/o full text: Overlapping or duplicate dataset
4071,12953083,"Annual report to the nation on the status of cancer, 1975-2000, featuring the uses of surveillance data for cancer prevention and control (2003)",E. EXCLUDED w/o full text: Overlapping or duplicate dataset
4164,19033571,"Annual Report to the Nation on the Status of Cancer, 1975-2005, Featuring Trends in Lung Cancer, Tobacco Use, and Tobacco Control (2008)",E. EXCLUDED w/o full text: Overlapping or duplicate dataset
4172,23335087,"Cancer statistics, 2013 (2013)",E. EXCLUDED w/o full text: Overlapping or duplicate dataset
4213,22987332,"Cancer statistics for Hispanics/Latinos, 2012 (2012)",E. EXCLUDED w/o full text: Overlapping or duplicate dataset
4216,22460733,"Annual Report to the Nation on the status of cancer, 1975-2008, featuring cancers associated with excess weight and lack of sufficient physical activity (2012)",E. EXCLUDED w/o full text: Overlapping or duplicate dataset
4357,12924775,"Cancer statistics for Hispanics, 2003 (2003)",E. EXCLUDED w/o full text: Overlapping or duplicate dataset
66,34427920,Age distributions of breast cancer diagnosis and mortality by race and ethnicity in US women (2021),"F1. EXTRACTION HIGH: overall-incidence IRRs NOT in main paper (paper reports proportion-diagnosed-<50 RR, e.g. Hispanic 1.93). CHECK ONLINE SUPPLEMENT; drives SENS2. Likely reclassify to narrative."
234,42377954,"Breast Cancer Incidence in Asian American, Native Hawaiian, and Pacific Islander Populations, 2000-2022 (2026)",F2. EXTRACTION: AANHPI subgroup rates in image eTable (aggregates+NHW 139.5 already verified via supplement; verify 8 subgroup rates)
203,19001605,Recent trends in breast cancer among younger women in the United States (2008),F3. EXTRACTION LOW (inert overlap): Black age-label <30 vs <40 mismatch; not selected anywhere
2131,35699957,"Associations of Obesity, Physical Activity, and Screening With State-Level Trends and Racial and Ethnic Disparities of Breast Cancer Incidence and Mortality in the US (2022)",F4. EXTRACTION LOW (overlap): NHW 131.0 verified; subgroup rates in table
