rec_id,PMID/DOI,Title,Decision,Classification,Reason / rationale,PDF
425,40543242,Regional disparities in incidence and outcomes of invasive ductal carcinoma of the breast among Asian and Pacific Islander women in the United States (2025),Included,narrative,API invasive ductal carcinoma by US region; comparator=region not NHW -> narrative,Y
426,39837694,"Trends in Incidence of Invasive Lobular Carcinoma of the Breast by Race: Patterns by Age, Cancer Stage, and Socioeconomic Factors in the United States, 1992-2019 (2025)",Included,narrative,| quant->narrative: invasive lobular carcinoma incidence-TREND by race 1992-2019 (subtype trend),N
427,39438356,"The role of ethnic enclaves and neighborhood socioeconomic status in invasive breast cancer incidence rates among Asian American, Native Hawaiian, and Pacific Islander females in California (2025)",Included,narrative,ethnic enclave/nSES AANHPI incidence CCR 2008-2012; comparator=enclave/nSES not NHW -> narrative,Y
428,18323374,Women's cancers among Alaska Natives: [corrected] 1969-2003. (2007),Excluded,Full text unavailable,Full text unavailable — could not obtain: Women's cancers Alaska Natives (corrected dup of 415),N
436,42466659,"Incidence, Trends, and Racial/Ethnic Disparities in Female Breast Cancer in the United States, 2000-2023: A SEER Based Study (2026)",Included,narrative,incidence by race SEER 2000-2023 (Hispanic/AIAN/API/NHB/NHW rates) | RECLASS q->n: NHW rate 228.9 non-standard (~1.6x age-adj); NHB/NHW=0.76 inconsistent w/ literature ~0.95 - non-comparable metric,Y
438,18086787,"Changes in breast cancer incidence rates in the United States by histologic subtype and race/ethnicity, 1995 to 2004 (2007)",Included,narrative,| quant->narrative: histologic-type incidence-TREND by race (subtype trend),Y
448,16425100,"Race/ethnicity and changing US socioeconomic gradients in breast cancer incidence: California and Massachusetts, 1978-2002 (United States) (2006)",Included,narrative,| quant->narrative: US socioeconomic-gradient in breast incidence (SES-gradient study),Y
453,20024610,Racial differences in the incidence of breast cancer subtypes defined by combined histologic grade and hormone receptor status (2010),Included,narrative,| quant->narrative: ER x grade subtype incidence AA-vs-EA; ER/HR subtypes covered by rec2/10/200/286/324/161,Y
455,23907433,Comparison of clinicopathologic features and survival in young American women aged 18-39 years in different ethnic groups with breast cancer (2013),Included,narrative,| quant->narrative: young women 18-39 clinicopathologic features & SURVIVAL (survival focus),Y
461,26320932,"Trends and Patterns of Late and Unstaged Lung, Colorectal, Female Breast, and  Prostate Cancers among American Indians in the Northern Plains, 2002-2009 (2015)",Included,quant-eligible,"AI/AN vs NHW breast incidence Northern Plains 2002-2009; late/unstaged focus but overall rates present | DEFER-quant: MISFILED PDF (461.pdf contains Goggins/rec955 AIPA paper, not Northern-Plains); correct Northern-Plains AI/AN full text needed - AIAN otherwise represented",Y
463,17163416,Recent trends in breast cancer incidence among 6 Asian groups in the Greater Bay Area of Northern California (2007),Included,quant-extracted,Chinese/Japanese/Filipino/Korean/Vietnamese/S.Asian vs NHW GBACR 1990-2002; overlaps CCR,Y
474,41546752,"Persistent poverty and breast cancer incidence by tumor subtype: intersections of rural/urban residence and race within USA Surveillance Epidemiology and End Results Registries, 2017 to 2021 (2026)",Included,narrative,persistent-poverty x rural/urban x race SEER22 2017-2021; comparator=poverty not NHW -> narrative,N
475,11899120,The greater impact of menopause on ER- than ER+ breast cancer incidence: A possible explanation (United States) (2002),Included,narrative,"| quant->narrative: menopause effect on ER-/ER+ incidence (mechanistic ER-subtype, older)",Y
476,41665696,"Rural–urban disparities in breast cancer incidence among US women aged 20–49: trends by race/ethnicity, stage, poverty, and state from 2000–2019 (2026)",Excluded,Full text unavailable,"Full text unavailable — could not obtain: Rural-urban BC 20-49 by race; overlaps other rural-urban studies (474,477,916,1800)",N
477,41649619,"Spillover effects of public school integration in the southern United States: diverging trends in statewide annual breast cancer incidence, 2001–2019 (2026)",Included,narrative,school-integration spillover; NHB/White incidence but policy/state/cohort-framed -> narrative,N
480,25442056,Changes in the pattern of breast cancer burden among African American women: Evidence based on 29 states and District of Columbia during 1998 to 2010 (2015),Included,narrative,| quant->narrative: African-American breast-burden CHANGES 1998-2010 (temporal trend),Y
485,19124489,"Trends in area-socioeconomic and race-ethnic disparities in breast cancer incidence, stage at diagnosis, screening, mortality, and survival among women ages 50 years and over (1987-2005) (2009)",Included,quant-extracted,incidence by race + area-SES women 50+ SEER 1987-2005,Y
500,31764279,"Trends in Cancer Incidence among American Indians and Alaska Natives and Non-Hispanic Whites in the United States, 1999-2015 (2020)",Included,quant-extracted,AI/AN vs NHW breast incidence USCS 1999-2015,Y
504,40736150,Cancer Incidence and Trends in Persistent Poverty Areas of California by Race/Ethnicity and Sex (2025),Included,narrative,persistent-poverty-area incidence by race CCR 2006-2020; comparator=PPA not NHW -> narrative,N
510,26766789,"Cancer statistics for Asian Americans, Native Hawaiians, and Pacific Islanders, 2016: Converging incidence in males and females (2016)",Included,narrative,series representative; secondary synthesis of SEER/NPCR/NAACCR - narrative/context (not pooled to avoid double-counting): Cancer Statistics for AANHPI 2016 (disaggregated AANHPI national),N
516,37184135,The role of area-level socioeconomic disadvantage in racial disparities in cancer incidence in metropolitan Detroit (2023),Included,narrative,NHB/NHW breast incidence + RR metro Detroit MDCSS; ADI-framed but race-specific rates present | RECLASS q->n: ADI(deprivation) per-quartile RR; not race-vs-NHW IRR,N
517,28972651,"Breast cancer statistics, 2017, racial disparity in mortality by state (2017)",Excluded,Overlapping or duplicate dataset,Overlapping or duplicate dataset — recurring statistical report (ACS-BreastStats); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative,Y
522,36504334,"Characterizing breast cancer incidence and trends among Asian American, Native Hawaiian, and non-Hispanic White women in Hawaiʻi, 1990-2014 (2023)",Included,quant-extracted,Native Hawaiian/Japanese/Filipino + NHW Hawaii incidence HTR 1990-2014; overlaps 161,Y
541,35064367,Racial and socioeconomic disparities in breast cancer diagnosis and mortality in Pennsylvania (2022),Included,narrative,"reclassified from quant: 'diagnosis rate' is a cohort percentage, not a population incidence rate per 100,000",Y
543,35143040,Cancer statistics for African American/Black People 2022 (2022),Excluded,Overlapping or duplicate dataset,Overlapping or duplicate dataset — recurring statistical report (ACS-AABlack); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative,Y
565,29120826,Cancer in Guam and Hawaii: A comparison of two U.S. Island populations (2017),Included,narrative,Guam vs Hawaii breast incidence; comparator=island populations not NHW -> narrative,N
587,19292805,"Breast cancer in the middle eastern population of California, 1988-2004 (2009)",Included,quant-extracted,Middle Eastern vs NHW incidence CCR 1988-2004; key ME subgroup,Y
603,25905822,"Secular trends, race, and geographic disparity of early-stage breast cancer incidence: 25 years of surveillance in Connecticut (2015)",Included,narrative,Connecticut early-stage incidence 25yr + small-area cluster; stage-specific + White/non-White -> narrative,Y
605,12173348,"Annual report to the nation on the status of cancer, 1973-1999, featuring implications of age and aging on U.S. cancer burden (2002)",Excluded,Overlapping or duplicate dataset,Overlapping or duplicate dataset — recurring statistical report (ARN); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative,Y
