rec_id,PMID,synth_group,verdict,detail,citation
158,34731501,narrative,AUTHOR,no source PDF (confirm eligibility from full text),"Trends in breast cancer incidence rates by race/ethnicity: Patterns by stage, so"
165,11562110,narrative,AUTHOR,"signature missing: breast,rate,white,race (likely image PDF or narrative-only)",Socioeconomic status and breast cancer incidence in California for different rac
178,30426307,narrative,VERIFIED,eligibility signature present,Trends in stage at diagnosis for young breast cancer patients in the United Stat
188,16737949,narrative,VERIFIED,eligibility signature present,Trends in breast cancer by race and ethnicity: Update 2006 (2006)
190,34128917,narrative,VERIFIED,eligibility signature present,"Cancer Incidence Rate Variations among the Chinese, South Asian, and Vietnamese "
205,21357727,narrative,VERIFIED,eligibility signature present,Breast cancer incidence rates in U.S. women re no longer declining (2011)
207,23878354,narrative,VERIFIED,eligibility signature present,Cancer incidence trends among native hawaiians and other pacific islanders in th
210,34861613,narrative,AUTHOR,no source PDF (confirm eligibility from full text),Breast cancer incidence trends in Asian women aged 20 or older as compared to ot
226,35113296,narrative,AUTHOR,no source PDF (confirm eligibility from full text),Home mortgage discrimination and incidence of triple-negative and Luminal A brea
238,15219802,narrative,AUTHOR,"signature missing: breast,rate,white,race (likely image PDF or narrative-only)","Patterns in cancer incidence among American Indians/Alaska Natives, United State"
246,20567897,narrative,AUTHOR,no source PDF (confirm eligibility from full text),Does socioeconomic disparity in cancer incidence vary across racial/ethnic group
252,32212335,narrative,AUTHOR,no source PDF (confirm eligibility from full text),Forty-year trends in menopausal hormone therapy use and breast cancer incidence 
259,21850396,narrative,AUTHOR,no source PDF (confirm eligibility from full text),What can we learn from the age- and race/ethnicity- specific rates of inflammato
272,12973851,narrative,VERIFIED,eligibility signature present,Cancer rates among American Indians and Alaska Natives: is there a national  per
284,42065927,narrative,AUTHOR,no source PDF (confirm eligibility from full text),"Trends in Female Breast Cancer Incidence among Japanese, Korean, and US Populati"
310,18162138,narrative,AUTHOR,no source PDF (confirm eligibility from full text),"Recent breast cancer trends among Asian/Pacific Islander, Hispanic, and African-"
316,29509274,narrative,AUTHOR,no source PDF (confirm eligibility from full text),Early estimates of cancer incidence for 2015: Expanding to include estimates for
322,16322891,narrative,VERIFIED,eligibility signature present,Inter- and intra-ethnic differences for female breast carcinoma incidence in the
336,17627009,narrative,VERIFIED,eligibility signature present,Early- and late-onset breast cancer types among women in the United States and J
339,20167158,narrative,VERIFIED,eligibility signature present,"Cancers of the breast, uterus, ovary and cervix among Alaska native women, 1974-"
354,16259500,narrative,VERIFIED,eligibility signature present,Explaining geographic variation in breast and cervical cancer incidence rates in
361,20147667,narrative,VERIFIED,eligibility signature present,Decline in US breast cancer rates after the Women's Health Initiative: socioecon
369,29445940,narrative,AUTHOR,no source PDF (confirm eligibility from full text),Differences in breast cancer incidence among young women aged 20–49 years by sta
377,27792934,narrative,AUTHOR,no source PDF (confirm eligibility from full text),Racial/ethnicity disparities in invasive breast cancer among younger and older  
383,12206512,narrative,VERIFIED,eligibility signature present,Rates for breast cancer characteristics by estrogen and progesterone receptor st
402,26741869,narrative,AUTHOR,no source PDF (confirm eligibility from full text),"Disparities in Breast Cancer Incidence, Mortality, and Quality of Care among Afr"
405,23446808,narrative,VERIFIED,eligibility signature present,A trend analysis of breast cancer incidence rates in the United States from 2000
425,40543242,narrative,VERIFIED,eligibility signature present,Regional disparities in incidence and outcomes of invasive ductal carcinoma of t
426,39837694,narrative,AUTHOR,no source PDF (confirm eligibility from full text),Trends in Incidence of Invasive Lobular Carcinoma of the Breast by Race: Pattern
427,39438356,narrative,VERIFIED,eligibility signature present,The role of ethnic enclaves and neighborhood socioeconomic status in invasive br
436,42466659,narrative,VERIFIED,eligibility signature present,"Incidence, Trends, and Racial/Ethnic Disparities in Female Breast Cancer in the "
438,18086787,narrative,VERIFIED,eligibility signature present,Changes in breast cancer incidence rates in the United States by histologic subt
448,16425100,narrative,VERIFIED,eligibility signature present,Race/ethnicity and changing US socioeconomic gradients in breast cancer incidenc
453,20024610,narrative,VERIFIED,eligibility signature present,Racial differences in the incidence of breast cancer subtypes defined by combine
455,23907433,narrative,VERIFIED,eligibility signature present,Comparison of clinicopathologic features and survival in young American women ag
474,41546752,narrative,AUTHOR,no source PDF (confirm eligibility from full text),Persistent poverty and breast cancer incidence by tumor subtype: intersections o
475,11899120,narrative,AUTHOR,"signature missing: breast,rate,white,race (likely image PDF or narrative-only)",The greater impact of menopause on ER- than ER+ breast cancer incidence: A possi
477,41649619,narrative,AUTHOR,no source PDF (confirm eligibility from full text),Spillover effects of public school integration in the southern United States: di
480,25442056,narrative,REVIEW,signature missing: white (likely image PDF or narrative-only),Changes in the pattern of breast cancer burden among African American women: Evi
504,40736150,narrative,AUTHOR,no source PDF (confirm eligibility from full text),Cancer Incidence and Trends in Persistent Poverty Areas of California by Race/Et
510,26766789,narrative,AUTHOR,no source PDF (confirm eligibility from full text),"Cancer statistics for Asian Americans, Native Hawaiians, and Pacific Islanders, "
516,37184135,narrative,AUTHOR,no source PDF (confirm eligibility from full text),The role of area-level socioeconomic disadvantage in racial disparities in cance
541,35064367,narrative,VERIFIED,eligibility signature present,Racial and socioeconomic disparities in breast cancer diagnosis and mortality in
565,29120826,narrative,AUTHOR,no source PDF (confirm eligibility from full text),Cancer in Guam and Hawaii: A comparison of two U.S. Island populations (2017)
603,25905822,narrative,VERIFIED,eligibility signature present,"Secular trends, race, and geographic disparity of early-stage breast cancer inci"
687,15922628,narrative,VERIFIED,eligibility signature present,"Urbanization and breast cancer incidence in North Carolina, 1995-1999 (2005)"
701,39937364,narrative,VERIFIED,eligibility signature present,"Geographic differences in early-onset breast cancer incidence trends in the USA,"
751,15090727,narrative,AUTHOR,no source PDF (confirm eligibility from full text),Population-based statistics for women diagnosed with inflammatory breast cancer 
754,38996557,narrative,AUTHOR,no source PDF (confirm eligibility from full text),Breast cancer incidence and stage at diagnosis in the six US-Affiliated Pacific 
916,36622036,narrative,VERIFIED,eligibility signature present,Disparities in cancer incidence by rurality in California (2023)
998,28854891,narrative,AUTHOR,no source PDF (confirm eligibility from full text),"Cancer-related risk factors and incidence of major cancers by race, gender and r"
1101,37740603,narrative,AUTHOR,no source PDF (confirm eligibility from full text),Cancer incidence in the Somali population of Olmsted County: A Rochester epidemi
1106,32940362,narrative,VERIFIED,eligibility signature present,"Cancer statistics for adolescents and young adults, 2020 (2020)"
1336,,narrative,VERIFIED,eligibility signature present,"Disparities in breast cancer incidence and survival by age, race, and molecular "
1398,41989785,narrative,AUTHOR,no source PDF (confirm eligibility from full text),Early-Onset Cancer Incidence Disparities Between Black and White Individuals in 
1453,41400551,narrative,AUTHOR,no source PDF (confirm eligibility from full text),American Cancer Society’s Report on the Status of Cancer Disparities in the Unit
1457,41528114,narrative,AUTHOR,no source PDF (confirm eligibility from full text),"Cancer statistics, 2026 (2026)"
1569,,narrative,AUTHOR,no source PDF (confirm eligibility from full text),Characterizing cancer patterns in Okinawan vs. mainland Japanese Americans: The 
1629,40189850,narrative,AUTHOR,no source PDF (confirm eligibility from full text),Inequalities in Fertility-Impacting Cancer Incidence Among Young Populations in 
1637,39808161,narrative,AUTHOR,no source PDF (confirm eligibility from full text),Cancer Incidence in the Hispanic Community Health Study/Study of Latinos (HCHS/S
1762,39094298,narrative,VERIFIED,eligibility signature present,Early-onset cancer incidence in the United States by race/ethnicity between 2011
1800,38801414,narrative,AUTHOR,no source PDF (confirm eligibility from full text),"Rural–Urban Cancer Incidence and Trends in the United States, 2000 to 2019 (2024"
2302,33392441,narrative,VERIFIED,eligibility signature present,Breast Cancer Incidence Trends by Estrogen Receptor Status among Asian American 
2440,31428891,narrative,AUTHOR,no source PDF (confirm eligibility from full text),Cancer incidence and associations with known risk and protective factors: the Al
2453,31392297,narrative,AUTHOR,no source PDF (confirm eligibility from full text),Incidence and survival among young women with stage I-III breast cancer: Seer 20
2548,29975407,narrative,VERIFIED,eligibility signature present,"Cancer patterns in Hmong in Minnesota, 2000 to 2012 (2018)"
2610,,narrative,VERIFIED,eligibility signature present,"The fluctuating incidence, improved survival of patients with breast cancer, and"
2732,,narrative,VERIFIED,eligibility signature present,Incidence rate for breast cancer in Japanese in Japan and in the United States f
3212,19109819,narrative,VERIFIED,eligibility signature present,Fifty years of cancer in an American Indian population (2009)
3228,18696716,narrative,VERIFIED,eligibility signature present,Cancer health disparities among Indian and Pakistani immigrants in the United St
3230,18720386,narrative,VERIFIED,eligibility signature present,"Cancer in American Indian and Alaska Native Young Adults (Ages 20-44 Years): US,"
3247,18094016,narrative,VERIFIED,eligibility signature present,"Cancer incidence rates among South Asians in four geographic regions: India, Sin"
3275,18159978,narrative,VERIFIED,eligibility signature present,"Cancer incidence in the Middle Eastern population of California, 1988-2004. (200"
3288,17242674,narrative,VERIFIED,eligibility signature present,Cancer incidence among Korean-American immigrants in the United States and nativ
3322,,narrative,VERIFIED,eligibility signature present,"Cancer incidence in the South Asian population of California, 1988-2000 (2005)"
3360,15328946,narrative,REVIEW,signature missing: white (likely image PDF or narrative-only),The effect of migration on cancer incidence among Japanese in Hawaii (2004)
3394,12784344,narrative,VERIFIED,eligibility signature present,Cancer in the Minnesota Hmong population (2003)
3640,,narrative,VERIFIED,eligibility signature present,Structural Racism and Triple-Negative Breast Cancer among Black and White Women 
3780,,narrative,VERIFIED,eligibility signature present,Risk of cancer in Asian Americans: a Kaiser Permanente cohort study (2016)
3845,,narrative,AUTHOR,no source PDF (confirm eligibility from full text),Characterizing inflammatory breast cancer among Arab Americans in the California
3861,,narrative,VERIFIED,eligibility signature present,Asian ethnicity and breast cancer subtypes: A study from the California Cancer R
3891,,narrative,VERIFIED,eligibility signature present,Changes in cancer incidence patterns among a northeastern American Indian popula
3999,,narrative,VERIFIED,eligibility signature present,"Cancer incidence patterns among Vietnamese in the United States and Ha Noi, Viet"
4026,37119997,narrative,VERIFIED,eligibility signature present,Incidence of selected cancers in Non-Hispanic American Indian and Alaska Native 
4039,16388524,narrative,VERIFIED,eligibility signature present,Racial/ethnic patterns in lifetime and age-conditional risk estimates for select
4043,37223193,narrative,AUTHOR,no source PDF (confirm eligibility from full text),Trends in Breast Cancer Incidence and Mortality in the United States From 2004-2
4058,28553811,narrative,VERIFIED,eligibility signature present,"White-Black Differences in Cancer Incidence, Stage at Diagnosis, and Survival Am"
4082,40257373,narrative,AUTHOR,no source PDF (confirm eligibility from full text),"Annual Report to the Nation on the Status of Cancer, featuring state-level stati"
4147,21749024,narrative,VERIFIED,eligibility signature present,AN EXCESS OF BREAST CANCER AMONG YOUNG CALIFORNIA-BORN ASIAN WOMEN (2011)
4294,39976243,narrative,AUTHOR,no source PDF (confirm eligibility from full text),"Cancer statistics for African American and Black people, 2025 (2025)"
4336,28407201,narrative,REVIEW,signature missing: white (likely image PDF or narrative-only),Cancer Incidence Profile in Sub-Saharan African-Born Blacks in the United States
4389,24013772,narrative,AUTHOR,no source PDF (confirm eligibility from full text),Differences in the cancer burden among foreign-born and US-born Arab Americans l
4429,28801942,narrative,AUTHOR,no source PDF (confirm eligibility from full text),"Cancer risk in different generations of Middle Eastern immigrants to California,"
