dimension,group,family,main_irr,main_ci,main_rec,sens_irr,sens_ci,sens_rec,status,n_all,n_kept
aggregate-vs-NHW,Asian/PI (aggregate),,0.769," [0.752, 0.788]",169,0.769," [0.752, 0.788]",169,unchanged,5,5
aggregate-vs-NHW,Black,,0.933," [0.920, 0.946]",169,0.933," [0.920, 0.946]",169,unchanged,10,7
aggregate-vs-NHW,Hispanic,,0.718," [0.707, 0.731]",169,0.718," [0.707, 0.731]",169,unchanged,7,7
disaggregated-AANHPI,Asian American (aggregate),,0.792," [0.784, 0.800]",234,0.792," [0.784, 0.800]",234,unchanged,2,2
disaggregated-AANHPI,Asian Indian/Pakistani,,0.958," [0.937, 0.979]",234,0.958," [0.937, 0.979]",234,unchanged,3,2
disaggregated-AANHPI,Cambodian,,0.264," [0.204, 0.341]",3267,0.264," [0.204, 0.341]",3267,unchanged,1,1
disaggregated-AANHPI,Chinese,,0.760," [0.745, 0.775]",234,0.760," [0.745, 0.775]",234,unchanged,6,6
disaggregated-AANHPI,Filipina,,0.857," [0.839, 0.874]",234,0.857," [0.839, 0.874]",234,unchanged,5,5
disaggregated-AANHPI,Guamanian/Chamorro/Samoan,,0.723," [0.641, 0.817]",234,0.723," [0.641, 0.817]",234,unchanged,1,1
disaggregated-AANHPI,Hmong,,0.164," [0.120, 0.224]",49,0.164," [0.120, 0.224]",49,unchanged,1,1
disaggregated-AANHPI,Japanese,,1.045," [1.009, 1.083]",234,1.045," [1.009, 1.083]",234,unchanged,5,5
disaggregated-AANHPI,Korean,,0.677," [0.654, 0.701]",234,0.677," [0.654, 0.701]",234,unchanged,7,7
disaggregated-AANHPI,Laotian/Kampuchean,,0.388," [0.350, 0.430]",234,0.388," [0.350, 0.430]",234,unchanged,1,1
disaggregated-AANHPI,Native Hawaiian,,1.211," [1.123, 1.305]",4040,1.211," [1.123, 1.305]",4040,unchanged,2,2
disaggregated-AANHPI,Native Hawaiian/PI (aggregate),,1.212," [1.168, 1.258]",234,1.212," [1.168, 1.258]",234,unchanged,1,1
disaggregated-AANHPI,Vietnamese,,0.586," [0.566, 0.608]",234,0.586," [0.566, 0.608]",234,unchanged,5,5
disaggregated-MENA,Middle Eastern,,0.86," [0.84, 0.88]",587,0.86," [0.84, 0.88]",587,unchanged,1,1
subtype-HRneg,Black,,1.796," [1.740, 1.853]",10,1.796," [1.740, 1.853]",10,unchanged,2,1
subtype-HRneg-HER2pos,Asian-American combined,,1.21," [1.12, 1.30]",324,1.21," [1.12, 1.30]",324,unchanged,1,1
subtype-HRneg-HER2pos,Asian/PI (aggregate),,1.41," [1.33, 1.49]",286,1.41," [1.33, 1.49]",286,unchanged,1,1
subtype-HRneg-HER2pos,Black,,1.46," [1.38, 1.54]",286,1.46," [1.38, 1.54]",286,unchanged,1,1
subtype-HRpos,Black,,0.820," [0.805, 0.836]",10,0.820," [0.805, 0.836]",10,unchanged,2,1
subtype-HRpos-HER2neg,Asian/PI (aggregate),,0.87," [0.85, 0.88]",286,0.87," [0.85, 0.88]",286,unchanged,2,2
subtype-HRpos-HER2neg,Black,,0.86," [0.84, 0.87]",286,0.86," [0.84, 0.87]",286,unchanged,3,3
subtype-HRpos-HER2neg,Hispanic,,0.78," [0.76, 0.79]",286,0.78," [0.76, 0.79]",286,unchanged,2,2
subtype-HRpos-HER2pos,Asian/PI (aggregate),,0.850," [0.768, 0.941]",2,0.850," [0.768, 0.941]",2,unchanged,1,1
subtype-HRpos-HER2pos,Black,,1.12," [1.08, 1.16]",286,1.12," [1.08, 1.16]",286,unchanged,2,2
subtype-HRpos-HER2pos,Hispanic,,0.91," [0.88, 0.94]",286,0.91," [0.88, 0.94]",286,unchanged,2,2
subtype-TNBC,AIAN,,0.860," [0.800, 0.930]",155,0.860," [0.800, 0.930]",155,unchanged,2,2
subtype-TNBC,Asian-American combined,,0.61," [0.58, 0.65]",324,0.61," [0.58, 0.65]",324,unchanged,1,1
subtype-TNBC,Asian/PI (aggregate),,0.700," [0.680, 0.720]",155,0.700," [0.680, 0.720]",155,unchanged,4,4
subtype-TNBC,Black,,1.950," [1.930, 1.980]",155,1.950," [1.930, 1.980]",155,unchanged,7,7
subtype-TNBC,Hispanic,,0.860," [0.840, 0.880]",155,0.860," [0.840, 0.880]",155,unchanged,5,5
