verified,ref,author,study_id,group,outcome,minority_rate,nhw_rate,source_location
,?,?,Zhao2020_33074325,Black,invasive_incidence,,,SEER18 2010-2015 IRR; Black slightly HIGHER (convergence era)
,?,?,Zhao2020_33074325,Hispanic,invasive_incidence,,,SEER18 2010-2015 IRR
,?,?,Zhao2020_33074325,Asian,invasive_incidence,,,SEER18 2010-2015 API IRR
,?,?,Zhao2020_33074325,AIAN,invasive_incidence,,,SEER18 2010-2015 IRR
,?,?,Zhao2020_33074325,Black,hrpos_her2neg_incidence,,,SEER18 HR+/HER2- IRR
,?,?,Zhao2020_33074325,Hispanic,hrpos_her2neg_incidence,,,SEER18 HR+/HER2- IRR
,?,?,Zhao2020_33074325,Asian,hrpos_her2neg_incidence,,,SEER18 HR+/HER2- API IRR
,?,?,Zhao2020_33074325,AIAN,hrpos_her2neg_incidence,,,SEER18 HR+/HER2- IRR
,?,?,Zhao2020_33074325,Black,hrpos_her2pos_incidence,,,SEER18 HR+/HER2+ IRR
,?,?,Zhao2020_33074325,Hispanic,hrpos_her2pos_incidence,,,SEER18 HR+/HER2+ IRR
,?,?,Zhao2020_33074325,Asian,hrpos_her2pos_incidence,,,SEER18 HR+/HER2+ API IRR
,?,?,Zhao2020_33074325,AIAN,hrpos_her2pos_incidence,,,SEER18 HR+/HER2+ IRR
,?,?,Zhao2020_33074325,Black,hrneg_her2pos_incidence,,,SEER18 HR-/HER2+ IRR
,?,?,Zhao2020_33074325,Hispanic,hrneg_her2pos_incidence,,,SEER18 HR-/HER2+ IRR
,?,?,Zhao2020_33074325,Asian,hrneg_her2pos_incidence,,,SEER18 HR-/HER2+ API IRR
,?,?,Zhao2020_33074325,AIAN,hrneg_her2pos_incidence,,,SEER18 HR-/HER2+ IRR
,?,?,Zhao2020_33074325,Black,tnbc_incidence,,,SEER18 TNBC IRR
,?,?,Zhao2020_33074325,Hispanic,tnbc_incidence,,,SEER18 TNBC IRR
,?,?,Zhao2020_33074325,Asian,tnbc_incidence,,,SEER18 TNBC API IRR
,?,?,Zhao2020_33074325,AIAN,tnbc_incidence,,,SEER18 TNBC IRR
,?,?,Gomez2010_20147696,AsianUSborn,invasive_incidence_nativity,135.9,145.6,US-born Asian vs NHW; direct (CA 2000-2004)
,?,?,Gomez2010_20147696,AsianForeignborn,invasive_incidence_nativity,78.5,145.6,foreign-born Asian vs NHW; direct (CA 2000-2004)
,?,?,Liu2012_21351091,Black,invasive_incidence,,,"adj RR, LA County"
,?,?,Liu2012_21351091,Hispanic,invasive_incidence,,,"adj RR, LA County (much lower than national)"
,?,?,Liu2012_21351091,Chinese,invasive_incidence,,,adj RR vs NHW
,?,?,Liu2012_21351091,Filipina,invasive_incidence,,,adj RR vs NHW
,?,?,Liu2012_21351091,Japanese,invasive_incidence,,,adj RR vs NHW
,?,?,Liu2012_21351091,Korean,invasive_incidence,,,adj RR vs NHW
,?,?,Hawaii2023_36504334,Japanese,invasive_incidence_age_lt50,52.0,39.8,age <50; 2010-2014 AAIR; JA highest when young
,?,?,Hawaii2023_36504334,NativeHawaiian,invasive_incidence_age_lt50,33.2,39.8,age <50; 2010-2014 AAIR
,?,?,Hawaii2023_36504334,Filipino,invasive_incidence_age_lt50,31.7,39.8,age <50; 2010-2014 AAIR; FA lowest
,?,?,Hawaii2023_36504334,NativeHawaiian,invasive_incidence_age_ge50,137.6,100.7,age >=50; NH highest when older (crossover); paper IRR 1.37
,?,?,Hawaii2023_36504334,Japanese,invasive_incidence_age_ge50,107.1,100.7,age >=50; paper IRR 1.06 (ns)
,?,?,Hawaii2023_36504334,Filipino,invasive_incidence_age_ge50,77.9,100.7,age >=50; FA lowest both ages; paper IRR 0.77
,?,?,Loo2019_30503975,Japanese,invasive_incidence,158.2,154.2,Hawaii crude IRR vs White; all ages
,?,?,Loo2019_30503975,NativeHawaiian,invasive_incidence,171.5,154.2,Hawaii crude IRR vs White; all ages
,?,?,Loo2019_30503975,Filipina,invasive_incidence,107.0,154.2,Hawaii crude IRR vs White; all ages
,?,?,Loo2019_30503975,Chinese,invasive_incidence,91.7,154.2,Hawaii crude IRR vs White; all ages
,?,?,Loo2019_30503975,Japanese,hrpos_her2neg_incidence,,,Hawaii IRR vs White
,?,?,Loo2019_30503975,NativeHawaiian,hrpos_her2neg_incidence,,,Hawaii IRR vs White
,?,?,Loo2019_30503975,Filipina,hrpos_her2neg_incidence,,,Hawaii IRR vs White
,?,?,Loo2019_30503975,Chinese,hrpos_her2neg_incidence,,,Hawaii IRR vs White
,?,?,Loo2019_30503975,Japanese,hrpos_her2pos_incidence,,,Hawaii IRR vs White
,?,?,Loo2019_30503975,NativeHawaiian,hrpos_her2pos_incidence,,,Hawaii IRR vs White; highest
,?,?,Loo2019_30503975,Filipina,hrpos_her2pos_incidence,,,Hawaii IRR vs White
,?,?,Loo2019_30503975,Chinese,hrpos_her2pos_incidence,,,Hawaii IRR vs White
,?,?,Loo2019_30503975,Japanese,hrneg_her2pos_incidence,,,Hawaii IRR vs White
,?,?,Loo2019_30503975,NativeHawaiian,hrneg_her2pos_incidence,,,Hawaii IRR vs White; HER2-enriched high
,?,?,Loo2019_30503975,Filipina,hrneg_her2pos_incidence,,,Hawaii IRR vs White
,?,?,Loo2019_30503975,Chinese,hrneg_her2pos_incidence,,,Hawaii IRR vs White
,?,?,Loo2019_30503975,Japanese,tnbc_incidence,,,Hawaii IRR vs White
,?,?,Loo2019_30503975,NativeHawaiian,tnbc_incidence,,,Hawaii IRR vs White; TNBC LOW (unlike Black)
,?,?,Loo2019_30503975,Filipina,tnbc_incidence,,,Hawaii IRR vs White
,?,?,Loo2019_30503975,Chinese,tnbc_incidence,,,Hawaii IRR vs White; TNBC lowest
,?,?,Kakarala2011_21301957,AsianIndian,invasive_incidence,72.3,149.5,Asian Indian/Pakistani vs NHW; CA 1998-2002
,?,?,Lepeak2011_21473509,Black,invasive_incidence,103.0,121.2,Wisconsin state registry 2004-06; no CI reported
,5,Du & Li,TNBC_Te7879b3,Black,tnbc_incidence,33.8,17.5,TNBC subtype; Black vs White IRR 1.93 (1.88-1.97); full-text; citation TBD
,5,Du & Li,TNBC_Te7879b3,Hispanic,tnbc_incidence,14.7,17.5,TNBC subtype; Hispanic vs White IRR 0.84 (0.82-0.86)
,5,Du & Li,TNBC_Te7879b3,Asian,tnbc_incidence,12.0,17.5,TNBC subtype; Asian vs White IRR 0.69 (0.68-0.69)
,5,Du & Li,TNBC_Te7879b3,AIAN,tnbc_incidence,14.7,17.5,TNBC subtype; AIAN vs White IRR 0.84 (0.75-0.93)
